method,K,alpha,scope,median,mean,p25,p75,p90,min,max,pct_rank_eq_1,pct_rank_le_10
Random baseline,0,nan,aggregate,198.0,199.9225,97.0,302.25,371.0,2,400,0.0,0.025
Random baseline,0,nan,heldout_like_c,182.5,175.83333333333334,88.75,250.75,309.6,6,395,0.0,0.03333333333333333
"GW (Pure-GW, alpha=1.0)",0,1.0,aggregate,175.5,177.2825,84.0,267.25,332.0,2,399,0.0,0.02
"GW (Pure-GW, alpha=1.0)",0,1.0,heldout_like_c,158.5,148.6,32.5,231.25,292.1,4,351,0.0,0.06666666666666667
FGW direct (M = caption cos),0,0.0,aggregate,13.0,31.4275,3.0,47.0,97.0,1,200,0.1525,0.465
FGW direct (M = caption cos),0,0.0,heldout_like_c,16.0,26.6,4.0,36.75,63.20000000000003,1,139,0.2,0.4666666666666667
FGW direct (M = caption cos),0,0.3,aggregate,43.0,79.7575,13.0,116.25,214.60000000000014,1,397,0.055,0.22
FGW direct (M = caption cos),0,0.3,heldout_like_c,39.5,62.833333333333336,7.25,86.5,177.40000000000003,1,267,0.1,0.3
FGW direct (M = caption cos),0,0.5,aggregate,42.0,77.8475,12.75,112.25,212.20000000000005,1,399,0.055,0.2275
FGW direct (M = caption cos),0,0.5,heldout_like_c,33.5,62.766666666666666,7.25,86.75,165.90000000000003,1,257,0.13333333333333333,0.3
FGW direct (M = caption cos),0,0.7,aggregate,39.0,77.435,12.0,119.75,209.4000000000001,1,400,0.0575,0.225
FGW direct (M = caption cos),0,0.7,heldout_like_c,40.0,65.0,8.0,105.25,169.9,1,243,0.13333333333333333,0.26666666666666666
FGW direct (M = caption cos),0,0.9,aggregate,66.5,94.4575,15.0,145.5,235.10000000000002,1,399,0.0475,0.2025
FGW direct (M = caption cos),0,0.9,heldout_like_c,58.0,77.5,8.75,117.25,162.50000000000006,1,321,0.03333333333333333,0.26666666666666666
