method,K,alpha,scope,p,nucleus_hit,nucleus_mean_size
"GW (unsup, alpha=1.0)",0,1.0,aggregate,0.5,0.115,43.9
"GW (unsup, alpha=1.0)",0,1.0,heldout_like_c,0.5,0.167,42.9
"GW (unsup, alpha=1.0)",0,1.0,aggregate,0.9,0.388,134.5
"GW (unsup, alpha=1.0)",0,1.0,heldout_like_c,0.9,0.433,123.9
FGW direct (M = caption cos),0,0.0,aggregate,0.5,0.152,38.0
FGW direct (M = caption cos),0,0.0,heldout_like_c,0.5,0.200,40.9
FGW direct (M = caption cos),0,0.0,aggregate,0.9,0.165,38.5
FGW direct (M = caption cos),0,0.0,heldout_like_c,0.9,0.200,41.4
FGW direct (M = caption cos),0,0.3,aggregate,0.5,0.062,1.6
FGW direct (M = caption cos),0,0.3,heldout_like_c,0.5,0.133,1.9
FGW direct (M = caption cos),0,0.3,aggregate,0.9,0.135,4.7
FGW direct (M = caption cos),0,0.3,heldout_like_c,0.9,0.200,5.6
FGW direct (M = caption cos),0,0.5,aggregate,0.5,0.080,2.0
FGW direct (M = caption cos),0,0.5,heldout_like_c,0.5,0.133,2.4
FGW direct (M = caption cos),0,0.5,aggregate,0.9,0.163,7.2
FGW direct (M = caption cos),0,0.5,heldout_like_c,0.9,0.200,8.6
FGW direct (M = caption cos),0,0.7,aggregate,0.5,0.105,3.2
FGW direct (M = caption cos),0,0.7,heldout_like_c,0.5,0.133,3.3
FGW direct (M = caption cos),0,0.7,aggregate,0.9,0.255,16.6
FGW direct (M = caption cos),0,0.7,heldout_like_c,0.9,0.300,15.3
FGW direct (M = caption cos),0,0.9,aggregate,0.5,0.200,15.6
FGW direct (M = caption cos),0,0.9,heldout_like_c,0.5,0.167,11.7
FGW direct (M = caption cos),0,0.9,aggregate,0.9,0.550,77.4
FGW direct (M = caption cos),0,0.9,heldout_like_c,0.9,0.533,62.7
FGW transitive (identity bridge),10,0.0,aggregate,0.5,0.245,69.3
FGW transitive (identity bridge),10,0.0,heldout_like_c,0.5,0.200,71.5
FGW transitive (identity bridge),10,0.0,aggregate,0.9,0.695,225.5
FGW transitive (identity bridge),10,0.0,heldout_like_c,0.9,0.600,228.7
FGW transitive (identity bridge),10,0.3,aggregate,0.5,0.323,75.8
FGW transitive (identity bridge),10,0.3,heldout_like_c,0.5,0.200,78.2
FGW transitive (identity bridge),10,0.3,aggregate,0.9,0.733,231.5
