method,K,alpha,scope,r_at_10,routes_correct,routes_total,nmi,core_hit,core_mean_size,metric_kind,plan_path,missing_reason
"GW (unsup, alpha=1.0)",0,1.0,aggregate,0.02,3,15,0.3737089662972356,0.1675,54.185,core_set,results/exp_unsup/T_gw.npy,
"GW (unsup, alpha=1.0)",0,1.0,heldout_like_c,0.06666666666666667,2,15,0.7154148348485944,,,core_set,results/exp_unsup/T_gw.npy,heldout subset index not found: results/exp_unsup/heldout_compare_idx.npy
FGW direct (M = caption cos),0,0.0,aggregate,0.205,3,15,0.2616349490881679,,,core_set,results/exp_d/plans/T__a0.00.npy,plan file not found: results/exp_d/plans/T__a0.00.npy
FGW direct (M = caption cos),0,0.3,aggregate,0.22,8,15,0.18976771787461705,,,core_set,results/exp_d/plans/T__a0.30.npy,plan file not found: results/exp_d/plans/T__a0.30.npy
FGW direct (M = caption cos),0,0.5,aggregate,0.2275,8,15,0.20223753024280172,,,core_set,results/exp_d/plans/T__a0.50.npy,plan file not found: results/exp_d/plans/T__a0.50.npy
FGW direct (M = caption cos),0,0.7,aggregate,0.225,7,15,0.22390042616947534,0.19,8.8,core_set,results/exp_d/T_caption.npy,
FGW direct (M = caption cos),0,0.7,heldout_like_c,0.26666666666666666,7,15,0.7359608524834746,,,core_set,results/exp_d/T_caption.npy,heldout subset index not found: results/exp_d/heldout_compare_idx.npy
FGW direct (M = caption cos),0,0.9,aggregate,0.2025,5,15,0.2703966836625527,,,core_set,results/exp_d/plans/T__a0.90.npy,plan file not found: results/exp_d/plans/T__a0.90.npy
FGW transitive (identity bridge),10,0.0,aggregate,0.0325,2,15,0.22820542425130658,,,core_set,results/exp_c/plans/T__K10__a0.00.npy,plan file not found: results/exp_c/plans/T__K10__a0.00.npy
FGW transitive (identity bridge),10,0.0,heldout_like_c,0.06666666666666667,3,15,0.6651425508240943,,,core_set,results/exp_c/plans/T__K10__a0.00.npy,plan file not found: results/exp_c/plans/T__K10__a0.00.npy
FGW transitive (identity bridge),10,0.3,aggregate,0.05,2,15,0.2328612361238321,,,core_set,results/exp_c/plans/T__K10__a0.30.npy,plan file not found: results/exp_c/plans/T__K10__a0.30.npy
FGW transitive (identity bridge),10,0.3,heldout_like_c,0.03333333333333333,4,15,0.6868525415822161,,,core_set,results/exp_c/plans/T__K10__a0.30.npy,plan file not found: results/exp_c/plans/T__K10__a0.30.npy
FGW transitive (identity bridge),10,0.5,aggregate,0.055,2,15,0.23847171234216458,,,core_set,results/exp_c/plans/T__K10__a0.50.npy,plan file not found: results/exp_c/plans/T__K10__a0.50.npy
FGW transitive (identity bridge),10,0.5,heldout_like_c,0.03333333333333333,3,15,0.7118288564847591,,,core_set,results/exp_c/plans/T__K10__a0.50.npy,plan file not found: results/exp_c/plans/T__K10__a0.50.npy
FGW transitive (identity bridge),10,0.7,aggregate,0.0575,2,15,0.28927859595206773,,,core_set,results/exp_c/plans/T__K10__a0.70.npy,plan file not found: results/exp_c/plans/T__K10__a0.70.npy
FGW transitive (identity bridge),10,0.7,heldout_like_c,0.03333333333333333,4,15,0.6364672256757811,,,core_set,results/exp_c/plans/T__K10__a0.70.npy,plan file not found: results/exp_c/plans/T__K10__a0.70.npy
FGW transitive (identity bridge),10,0.9,aggregate,0.05,1,15,0.29610078039844623,,,core_set,results/exp_c/plans/T__K10__a0.90.npy,plan file not found: results/exp_c/plans/T__K10__a0.90.npy
FGW transitive (identity bridge),10,0.9,heldout_like_c,0.03333333333333333,4,15,0.7108262513611738,,,core_set,results/exp_c/plans/T__K10__a0.90.npy,plan file not found: results/exp_c/plans/T__K10__a0.90.npy
FGW transitive (identity bridge),20,0.0,aggregate,0.055,1,15,0.17394496565602122,,,core_set,results/exp_c/plans/T__K20__a0.00.npy,plan file not found: results/exp_c/plans/T__K20__a0.00.npy
FGW transitive (identity bridge),20,0.0,heldout_like_c,0.06666666666666667,6,15,0.6228805021022705,,,core_set,results/exp_c/plans/T__K20__a0.00.npy,plan file not found: results/exp_c/plans/T__K20__a0.00.npy
FGW transitive (identity bridge),20,0.3,aggregate,0.06,1,15,0.19379244917147095,,,core_set,results/exp_c/plans/T__K20__a0.30.npy,plan file not found: results/exp_c/plans/T__K20__a0.30.npy
FGW transitive (identity bridge),20,0.3,heldout_like_c,0.1,7,15,0.5714123599480365,,,core_set,results/exp_c/plans/T__K20__a0.30.npy,plan file not found: results/exp_c/plans/T__K20__a0.30.npy
FGW transitive (identity bridge),20,0.5,aggregate,0.0675,1,15,0.20144355189035218,,,core_set,results/exp_c/plans/T__K20__a0.50.npy,plan file not found: results/exp_c/plans/T__K20__a0.50.npy
FGW transitive (identity bridge),20,0.5,heldout_like_c,0.1,5,15,0.5385981946255199,,,core_set,results/exp_c/plans/T__K20__a0.50.npy,plan file not found: results/exp_c/plans/T__K20__a0.50.npy
FGW transitive (identity bridge),20,0.7,aggregate,0.08,2,15,0.23871616851111477,,,core_set,results/exp_c/plans/T__K20__a0.70.npy,plan file not found: results/exp_c/plans/T__K20__a0.70.npy
FGW transitive (identity bridge),20,0.7,heldout_like_c,0.1,5,15,0.6463003549927239,,,core_set,results/exp_c/plans/T__K20__a0.70.npy,plan file not found: results/exp_c/plans/T__K20__a0.70.npy
FGW transitive (identity bridge),20,0.9,aggregate,0.06,1,15,0.2748027375653049,,,core_set,results/exp_c/plans/T__K20__a0.90.npy,plan file not found: results/exp_c/plans/T__K20__a0.90.npy
FGW transitive (identity bridge),20,0.9,heldout_like_c,0.13333333333333333,3,15,0.6733671776035213,,,core_set,results/exp_c/plans/T__K20__a0.90.npy,plan file not found: results/exp_c/plans/T__K20__a0.90.npy
FGW transitive (identity bridge),50,0.0,aggregate,0.0975,4,15,0.17524341490977663,,,core_set,results/exp_c/plans/T__K50__a0.00.npy,plan file not found: results/exp_c/plans/T__K50__a0.00.npy
FGW transitive (identity bridge),50,0.0,heldout_like_c,0.03333333333333333,6,15,0.6565640623376533,,,core_set,results/exp_c/plans/T__K50__a0.00.npy,plan file not found: results/exp_c/plans/T__K50__a0.00.npy
FGW transitive (identity bridge),50,0.3,aggregate,0.105,5,15,0.1723745559120502,,,core_set,results/exp_c/plans/T__K50__a0.30.npy,plan file not found: results/exp_c/plans/T__K50__a0.30.npy
FGW transitive (identity bridge),50,0.3,heldout_like_c,0.03333333333333333,7,15,0.6072312824956785,,,core_set,results/exp_c/plans/T__K50__a0.30.npy,plan file not found: results/exp_c/plans/T__K50__a0.30.npy
FGW transitive (identity bridge),50,0.5,aggregate,0.1025,5,15,0.20260602436932673,,,core_set,results/exp_c/plans/T__K50__a0.50.npy,plan file not found: results/exp_c/plans/T__K50__a0.50.npy
FGW transitive (identity bridge),50,0.5,heldout_like_c,0.03333333333333333,4,15,0.6761425410061477,,,core_set,results/exp_c/plans/T__K50__a0.50.npy,plan file not found: results/exp_c/plans/T__K50__a0.50.npy
FGW transitive (identity bridge),50,0.7,aggregate,0.0925,5,15,0.23728103484391092,,,core_set,results/exp_c/plans/T__K50__a0.70.npy,plan file not found: results/exp_c/plans/T__K50__a0.70.npy
FGW transitive (identity bridge),50,0.7,heldout_like_c,0.03333333333333333,7,15,0.719936479114745,,,core_set,results/exp_c/plans/T__K50__a0.70.npy,plan file not found: results/exp_c/plans/T__K50__a0.70.npy
FGW transitive (identity bridge),50,0.9,aggregate,0.08,2,15,0.2714193959625105,,,core_set,results/exp_c/plans/T__K50__a0.90.npy,plan file not found: results/exp_c/plans/T__K50__a0.90.npy
FGW transitive (identity bridge),50,0.9,heldout_like_c,0.06666666666666667,4,15,0.6607688107547386,,,core_set,results/exp_c/plans/T__K50__a0.90.npy,plan file not found: results/exp_c/plans/T__K50__a0.90.npy
FGW transitive (identity bridge),100,0.0,aggregate,0.235,5,15,0.1691128544820716,,,core_set,results/exp_c/plans/T__K100__a0.00.npy,plan file not found: results/exp_c/plans/T__K100__a0.00.npy
FGW transitive (identity bridge),100,0.0,heldout_like_c,0.06666666666666667,7,15,0.7094853066536316,,,core_set,results/exp_c/plans/T__K100__a0.00.npy,plan file not found: results/exp_c/plans/T__K100__a0.00.npy
FGW transitive (identity bridge),100,0.3,aggregate,0.235,5,15,0.18573639498771835,,,core_set,results/exp_c/plans/T__K100__a0.30.npy,plan file not found: results/exp_c/plans/T__K100__a0.30.npy
FGW transitive (identity bridge),100,0.3,heldout_like_c,0.06666666666666667,8,15,0.6402895111778796,,,core_set,results/exp_c/plans/T__K100__a0.30.npy,plan file not found: results/exp_c/plans/T__K100__a0.30.npy
FGW transitive (identity bridge),100,0.5,aggregate,0.22,4,15,0.18975848201643186,,,core_set,results/exp_c/plans/T__K100__a0.50.npy,plan file not found: results/exp_c/plans/T__K100__a0.50.npy
FGW transitive (identity bridge),100,0.5,heldout_like_c,0.03333333333333333,8,15,0.5966355923969534,,,core_set,results/exp_c/plans/T__K100__a0.50.npy,plan file not found: results/exp_c/plans/T__K100__a0.50.npy
FGW transitive (identity bridge),100,0.7,aggregate,0.1975,6,15,0.20763293075500172,,,core_set,results/exp_c/plans/T__K100__a0.70.npy,plan file not found: results/exp_c/plans/T__K100__a0.70.npy
FGW transitive (identity bridge),100,0.7,heldout_like_c,0.03333333333333333,7,15,0.6106744971798385,,,core_set,results/exp_c/plans/T__K100__a0.70.npy,plan file not found: results/exp_c/plans/T__K100__a0.70.npy
FGW transitive (identity bridge),100,0.9,aggregate,0.135,5,15,0.25097326869232367,,,core_set,results/exp_c/plans/T__K100__a0.90.npy,plan file not found: results/exp_c/plans/T__K100__a0.90.npy
FGW transitive (identity bridge),100,0.9,heldout_like_c,0.1,7,15,0.6766404669576128,,,core_set,results/exp_c/plans/T__K100__a0.90.npy,plan file not found: results/exp_c/plans/T__K100__a0.90.npy
FGW transitive (identity bridge),160,0.0,aggregate,0.3525,5,15,0.18099498251922652,,,core_set,results/exp_c/plans/T__K160__a0.00.npy,plan file not found: results/exp_c/plans/T__K160__a0.00.npy
