K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi
10,0.0,aggregate,0.065,0.105,0.1825,0.29,4,10,0.0925,0.43814757466316223,0.2914186268111865
10,0.0,heldout,0.041025641025641026,0.08205128205128205,0.16153846153846155,0.2717948717948718,5,10,0.08,0.4259181618690491,0.3133468844769745
10,0.3,aggregate,0.06,0.1275,0.2125,0.32,4,10,0.11049999999999999,0.6876105070114136,0.3425538099761465
10,0.3,heldout,0.035897435897435895,0.10512820512820513,0.19230769230769232,0.30256410256410254,5,10,0.09846153846153846,0.6829705238342285,0.3487913795680042
10,0.5,aggregate,0.06,0.1325,0.2175,0.33,4,10,0.10550000000000001,0.7106303572654724,0.35397326076190866
10,0.5,heldout,0.035897435897435895,0.11025641025641025,0.19743589743589743,0.3128205128205128,6,10,0.09230769230769231,0.7069014310836792,0.35022031570748174
10,0.7,aggregate,0.0475,0.135,0.215,0.33,4,10,0.1015,0.725264310836792,0.36664500732552807
10,0.7,heldout,0.023076923076923078,0.11282051282051282,0.19487179487179487,0.3128205128205128,6,10,0.1,0.7222337126731873,0.3749048278446142
10,0.9,aggregate,0.035,0.105,0.1675,0.28,6,10,0.1175,0.7379505634307861,0.39589950085505266
10,0.9,heldout,0.020512820512820513,0.08717948717948718,0.15128205128205127,0.2641025641025641,5,10,0.10666666666666667,0.7312914729118347,0.3585847959952645
20,0.0,aggregate,0.0775,0.1475,0.25,0.365,4,10,0.09649999999999999,0.41085541248321533,0.27180064535919024
20,0.0,heldout,0.031578947368421054,0.10263157894736842,0.21052631578947367,0.33157894736842103,4,10,0.07263157894736842,0.4001171290874481,0.29226592876833124
20,0.3,aggregate,0.085,0.155,0.2775,0.385,4,10,0.10399999999999998,0.6204911470413208,0.3138205757244782
20,0.3,heldout,0.03684210526315789,0.11052631578947368,0.2394736842105263,0.3526315789473684,5,10,0.08315789473684211,0.6179595589637756,0.3449478064856674
20,0.5,aggregate,0.0775,0.175,0.285,0.415,5,10,0.10550000000000001,0.6705952882766724,0.31488703579114313
