K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness
10,0.0,aggregate,0.04,0.08,0.135,0.2125,7,10,0.067,0.40000125765800476,0.24605289804821132,0.20538955245865442,0.10183244509334703,0.24605289804821132,0.24540116503635076,0.24670810200515422
10,0.0,heldout,0.015384615384615385,0.05641025641025641,0.11282051282051282,0.19230769230769232,4,10,0.06,0.39133545756340027,0.234464370944751,0.19130595159295674,0.10404278326415138,0.234464370944751,0.2367418729002824,0.2322302714553216
10,0.3,aggregate,0.0475,0.1075,0.16,0.255,7,10,0.078,0.599365770816803,0.29968497624232143,0.26173039449456525,0.14822224699970865,0.2996849762423215,0.2988187851547246,0.30055620361431507
10,0.3,heldout,0.023076923076923078,0.08461538461538462,0.13846153846153847,0.2358974358974359,7,10,0.07179487179487179,0.5960568189620972,0.261051787604291,0.21917189806819307,0.14674268714640012,0.26105178760429104,0.2635305041880034,0.25861926517794315
10,0.5,aggregate,0.05,0.12,0.185,0.2725,8,10,0.083,0.6646891832351685,0.31316030007248574,0.2758558668979668,0.17479763330792406,0.31316030007248574,0.31159421637377893,0.3147422056782575
10,0.5,heldout,0.02564102564102564,0.09743589743589744,0.1641025641025641,0.25384615384615383,7,10,0.07948717948717948,0.6639787554740906,0.2855495073675477,0.2449852463472735,0.17851732682958715,0.2855495073675477,0.28766917573740625,0.28346084774139707
10,0.7,aggregate,0.0575,0.11,0.195,0.285,8,10,0.10099999999999998,0.7026460766792297,0.33411742369453723,0.29788054496413047,0.18930465284166992,0.33411742369453723,0.33083977356391614,0.3374606674308301
10,0.7,heldout,0.03333333333333333,0.08717948717948718,0.17435897435897435,0.26666666666666666,7,10,0.1,0.7037637829780579,0.2838543877606114,0.24316255863387454,0.15890701520534828,0.2838543877606114,0.28455535964497214,0.28315686092919673
10,0.9,aggregate,0.0375,0.1,0.1625,0.2825,7,10,0.10799999999999998,0.7161235213279724,0.37686154181491527,0.3430948430271588,0.23367666215244126,0.3768615418149152,0.37451551039281783,0.3792371504256026
10,0.9,heldout,0.028205128205128206,0.08717948717948718,0.14871794871794872,0.26666666666666666,7,10,0.10666666666666665,0.7128892540931702,0.3420764290989219,0.3048948485500168,0.1908031870847751,0.3420764290989219,0.3444098172706406,0.3397744457263425
20,0.0,aggregate,0.08,0.1675,0.235,0.3525,7,10,0.0885,0.48852768540382385,0.3380566168484986,0.3020859413643022,0.21161159551510073,0.3380566168484985,0.3353278082019721,0.3408302025186439
20,0.0,heldout,0.034210526315789476,0.12368421052631579,0.19473684210526315,0.31842105263157894,7,10,0.07526315789473685,0.4901486039161682,0.30195968022016667,0.2617639308842382,0.1603397523803407,0.3019596802201666,0.29858969016101156,0.3054066084578707
20,0.3,aggregate,0.0925,0.1875,0.2575,0.3825,8,10,0.09399999999999999,0.6114879846572876,0.34786457134861803,0.3123718853735433,0.2252919632685987,0.347864571348618,0.34468920795677155,0.35109898319680516
20,0.3,heldout,0.04473684210526316,0.14473684210526316,0.21842105263157896,0.35,7,10,0.07578947368421052,0.615229070186615,0.3159236268022023,0.27646962577901707,0.1640375045453186,0.3159236268022024,0.3120952733265236,0.31984706858863354
20,0.5,aggregate,0.0975,0.1975,0.2725,0.395,8,10,0.0955,0.6771162152290344,0.34727598093584916,0.31167919360646196,0.21279035295907656,0.3472759809358491,0.3446097849701599,0.34998375452519354
20,0.5,heldout,0.05,0.15526315789473685,0.23421052631578948,0.3631578947368421,8,10,0.08263157894736843,0.6847845315933228,0.3302742520599208,0.2915636692963971,0.16433322755332308,0.3302742520599208,0.32678344234452333,0.3338404470531701
