K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness
10,0.0,aggregate,0.0375,0.1025,0.1725,0.27,7,10,0.1025,0.5557416081428528,0.3056003773361662,0.26785286865931673,0.12029825287830988,0.3056003773361662,0.3028940865802665,0.30835546427736954
10,0.0,heldout,0.017948717948717947,0.07948717948717948,0.15128205128205127,0.2512820512820513,6,10,0.0917948717948718,0.5449131727218628,0.28739975208814594,0.24718891276233002,0.15729311447782446,0.2873997520881459,0.28779058956991804,0.28700997472977396
10,0.3,aggregate,0.04,0.1175,0.205,0.3075,7,10,0.1105,0.6851803064346313,0.35007534453191536,0.31466153995046553,0.1451496047199029,0.35007534453191536,0.34828244586858337,0.35188679778451504
10,0.3,heldout,0.020512820512820513,0.09487179487179487,0.18461538461538463,0.28974358974358977,6,10,0.09846153846153846,0.6755934953689575,0.31886365064669614,0.2803432629366883,0.1772498294100215,0.3188636506466961,0.3205341444169457,0.31721047847338035
10,0.5,aggregate,0.0475,0.1325,0.2225,0.32,7,10,0.1105,0.7171747088432312,0.3969017628936281,0.364072925813423,0.17696944132361192,0.3969017628936282,0.3963376103317015,0.3974675237903579
10,0.5,heldout,0.028205128205128206,0.11025641025641025,0.20256410256410257,0.30256410256410254,6,10,0.10564102564102565,0.7090399861335754,0.35035355435586363,0.31364550063791186,0.206278405702238,0.3503535543558636,0.3535589251327498,0.3472057812810743
10,0.7,aggregate,0.06,0.15,0.2275,0.3275,8,10,0.11800000000000001,0.7334316372871399,0.42532655243712747,0.39403924457784795,0.20405234948778112,0.42532655243712747,0.42462842065161055,0.4260269836006448
10,0.7,heldout,0.038461538461538464,0.1282051282051282,0.2076923076923077,0.31025641025641026,6,10,0.11333333333333334,0.7259815335273743,0.3869240318035967,0.35227607891107704,0.23874180800380204,0.38692403180359675,0.39038005393266484,0.3835286648033124
10,0.9,aggregate,0.0425,0.1275,0.2225,0.34,7,10,0.11149999999999999,0.7505188584327698,0.4414068967277068,0.4109296525002514,0.2215925636391351,0.4414068967277068,0.44102561663128753,0.4417888366511107
10,0.9,heldout,0.03333333333333333,0.11282051282051282,0.20512820512820512,0.32564102564102565,6,10,0.11025641025641025,0.7438644766807556,0.42312983825060774,0.39044618503679485,0.26298658792860835,0.4231298382506077,0.4269554987353861,0.41937212724705225
20,0.0,aggregate,0.0725,0.1575,0.2425,0.3725,8,10,0.1015,0.5706389546394348,0.35437579833304594,0.3195366957117408,0.17304830072879718,0.35437579833304594,0.3565771278491518,0.3522014818749373
20,0.0,heldout,0.02894736842105263,0.11315789473684211,0.2026315789473684,0.3394736842105263,7,10,0.0863157894736842,0.5534225702285767,0.3259809859211333,0.28809727294027726,0.16359942154498702,0.32598098592113334,0.32506475712920063,0.3269023942843167
20,0.3,aggregate,0.0875,0.17,0.255,0.3825,8,10,0.1045,0.6489558815956116,0.38833996741754884,0.3553046537287953,0.20373249329530457,0.38833996741754884,0.3892247911022247,0.3874591575429576
20,0.3,heldout,0.039473684210526314,0.12631578947368421,0.21578947368421053,0.35,9,10,0.09000000000000001,0.6326929330825806,0.348074454699831,0.3113811180301442,0.18414053040277267,0.34807445469983106,0.34578068218616975,0.35039886239751983
20,0.5,aggregate,0.0925,0.175,0.2525,0.4,8,10,0.1155,0.6819337606430054,0.40144033906443216,0.36923656996691223,0.20850804962116462,0.40144033906443216,0.40436480667523217,0.3985578686843307
20,0.5,heldout,0.04473684210526316,0.13157894736842105,0.2131578947368421,0.3684210526315789,9,10,0.10105263157894738,0.6680117249488831,0.38374089842677334,0.3491991756636618,0.20592681632285262,0.38374089842677334,0.3830952006453416,0.3843887764993118
20,0.7,aggregate,0.085,0.1675,0.2725,0.42,8,10,0.126,0.7144668698310852,0.43004536186520176,0.39932461651502615,0.23181633078936895,0.4300453618652018,0.43084240664627577,0.4292512606537248
20,0.7,heldout,0.03684210526315789,0.12368421052631579,0.23421052631578948,0.3894736842105263,9,10,0.12052631578947368,0.7034151554107666,0.4126100701946791,0.37960929896801887,0.22886013191863017,0.41261007019467905,0.4097437351507777,0.4155167902615959
20,0.9,aggregate,0.0725,0.1775,0.2675,0.3875,8,10,0.1245,0.7382174134254456,0.4313503036814347,0.4006462132139541,0.22471130341217613,0.43135030368143473,0.43449934985946426,0.4282465746663202
20,0.9,heldout,0.04473684210526316,0.14210526315789473,0.23421052631578948,0.35789473684210527,9,10,0.11631578947368422,0.7241771817207336,0.4202863466159895,0.38768527325282826,0.23052530746697342,0.42028634661598957,0.41939922452530654,0.4211772295804882
50,0.0,aggregate,0.175,0.2675,0.3425,0.47,9,10,0.107,0.5808125138282776,0.38518194729439126,0.3519869193665962,0.1766840535657061,0.3851819472943912,0.38717262299856275,0.38321163728129276
50,0.0,heldout,0.05714285714285714,0.16285714285714287,0.24857142857142858,0.3942857142857143,9,10,0.07771428571428572,0.5457722544670105,0.3050720236126023,0.26187825092649125,0.16472061668030666,0.30507202361260227,0.3059200290769185,0.30422870646771016
50,0.3,aggregate,0.175,0.2725,0.3525,0.495,9,10,0.105,0.6205728054046631,0.37454780408439453,0.3407491337767103,0.1744468964682135,0.3745478040843946,0.37584199186196837,0.3732624986262271
50,0.3,heldout,0.05714285714285714,0.16857142857142857,0.26,0.4228571428571429,9,10,0.07428571428571429,0.5913991928100586,0.30905284834710944,0.26606440101753465,0.15891313403327617,0.30905284834710955,0.30939044715011116,0.3087159854991063
50,0.5,aggregate,0.175,0.2775,0.37,0.5075,9,10,0.1,0.6439496278762817,0.3851691012148861,0.3519877590819026,0.18068040752730602,0.38516910121488607,0.3872587453998924,0.3831018873926948
50,0.5,heldout,0.05714285714285714,0.1742857142857143,0.28,0.43714285714285717,9,10,0.068,0.6197986006736755,0.3283923034663723,0.28668180510744734,0.16965739925204973,0.3283923034663723,0.3294872929130301,0.3273045678984145
50,0.7,aggregate,0.165,0.285,0.38,0.505,9,10,0.107,0.6810956001281738,0.410184480633661,0.37832006643292165,0.19158170460009163,0.410184480633661,0.41272653820868677,0.40767354535769823
50,0.7,heldout,0.05142857142857143,0.18285714285714286,0.2914285714285714,0.4342857142857143,8,10,0.07942857142857143,0.6584341526031494,0.354137771512712,0.3140071396768136,0.18209272987026326,0.354137771512712,0.35571379136541775,0.35257565543502645
50,0.9,aggregate,0.125,0.2525,0.3625,0.485,8,10,0.12399999999999999,0.7268347144126892,0.44622426596538206,0.41641133566744165,0.22843971912527375,0.44622426596538206,0.449604202461936,0.4428947681916806
50,0.9,heldout,0.04857142857142857,0.16857142857142857,0.2914285714285714,0.4228571428571429,7,10,0.10114285714285716,0.6926511526107788,0.3861209788505502,0.34799970413159864,0.21751657770145708,0.3861209788505502,0.38771714194584583,0.38453790411670424
100,0.0,aggregate,0.31,0.44,0.5125,0.6325,8,10,0.127,0.5705645680427551,0.33178739053459066,0.295739478184675,0.15788346470711928,0.33178739053459055,0.3328094407240735,0.33077159851198684
100,0.0,heldout,0.08666666666666667,0.25333333333333335,0.35,0.51,7,10,0.06733333333333334,0.5170840620994568,0.2626640352845935,0.20827134196549807,0.12682799381029933,0.2626640352845935,0.26147242933824094,0.2638665519443276
100,0.3,aggregate,0.32,0.445,0.515,0.6375,8,10,0.1285,0.6032151579856873,0.34178363730469163,0.30630604988047105,0.16828470399901624,0.34178363730469163,0.3430308277006959,0.34054548311664795
100,0.3,heldout,0.1,0.26,0.35333333333333333,0.5166666666666667,7,10,0.07066666666666667,0.5595740675926208,0.2753148460969577,0.2218684359377002,0.14150311950885108,0.2753148460969577,0.27406611950564,0.27657500391033357
