K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness
10,0.0,aggregate,0.0425,0.11,0.19,0.2925,8,10,0.084,0.5327226519584656,0.32363986253369,0.2875568688668589,0.17195423514033376,0.32363986253369,0.32053002919131557,0.32681063127679705
10,0.0,heldout,0.020512820512820513,0.08717948717948718,0.16923076923076924,0.2743589743589744,5,10,0.0641025641025641,0.5246413946151733,0.2696629131793432,0.22979101822538325,0.14367762933880057,0.2696629131793432,0.2652076055986373,0.27427047073667127
10,0.3,aggregate,0.0525,0.13,0.2075,0.3,8,10,0.10800000000000001,0.6090534329414368,0.32396911985571886,0.288198351711953,0.17073870657587709,0.3239691198557189,0.32272557549950315,0.32522228467227815
10,0.3,heldout,0.03076923076923077,0.1076923076923077,0.18717948717948718,0.28205128205128205,6,10,0.08564102564102566,0.6029475927352905,0.28290119645396616,0.24411580554078752,0.15824343679959008,0.28290119645396616,0.2799177810494985,0.2859488925586993
10,0.5,aggregate,0.0575,0.1475,0.2175,0.33,8,10,0.1125,0.6602188944816589,0.33819738645154196,0.3031721409658221,0.18341951147443847,0.33819738645154196,0.33699068254566145,0.3394127633996704
10,0.5,heldout,0.035897435897435895,0.12564102564102564,0.19743589743589743,0.3128205128205128,6,10,0.09538461538461539,0.6557151079177856,0.3072298122188186,0.2697556585884394,0.1731112180484815,0.3072298122188185,0.30411056848537493,0.3104137068618965
10,0.7,aggregate,0.055,0.135,0.225,0.3375,7,10,0.12399999999999999,0.6939549446105957,0.3676735250480298,0.3341084645990329,0.19829338610032904,0.3676735250480298,0.36568515918160754,0.3696836320949707
10,0.7,heldout,0.035897435897435895,0.11282051282051282,0.20512820512820512,0.32051282051282054,5,10,0.11076923076923077,0.6900300979614258,0.3339294966846634,0.29777850060144334,0.1801203757463723,0.3339294966846634,0.32994338259427247,0.3380131027292269
10,0.9,aggregate,0.0475,0.1575,0.2425,0.3575,7,10,0.1305,0.7317454218864441,0.38066639716937445,0.34786524862951246,0.22776077463106928,0.38066639716937445,0.3793012031829888,0.3820414539609711
10,0.9,heldout,0.03333333333333333,0.14102564102564102,0.2230769230769231,0.34102564102564104,5,10,0.12666666666666668,0.7295932769775391,0.3712398660011513,0.33723322128138683,0.22815065156580774,0.37123986600115133,0.36771521810627356,0.37483273720436805
20,0.0,aggregate,0.0875,0.1675,0.2625,0.3825,7,10,0.1215,0.5633288621902466,0.363292387423755,0.3293898714530108,0.20113270301671982,0.36329238742375497,0.36023907606974814,0.3663978996835394
20,0.0,heldout,0.04473684210526316,0.12368421052631579,0.2236842105263158,0.35,6,10,0.08368421052631578,0.5471144318580627,0.3144249259545306,0.27604863979189803,0.18410077494671026,0.3144249259545307,0.30906944225309224,0.31996927951109955
20,0.3,aggregate,0.09,0.18,0.275,0.3975,7,10,0.127,0.6152555346488953,0.3450094895702582,0.31010518428726075,0.19251081779158388,0.34500948957025823,0.34173159068843967,0.34835088086678245
20,0.3,heldout,0.04736842105263158,0.1368421052631579,0.23684210526315788,0.36578947368421055,6,10,0.08842105263157893,0.602683424949646,0.30382931269916347,0.2648545503561656,0.1820962290697951,0.30382931269916347,0.29837506302269845,0.3094866810218822
20,0.5,aggregate,0.095,0.1925,0.2675,0.41,7,10,0.13299999999999998,0.6552065014839172,0.36197477871690875,0.32796398101913443,0.20063904624625406,0.36197477871690875,0.35863511478817856,0.3653772261973556
20,0.5,heldout,0.05263157894736842,0.15,0.22894736842105262,0.37894736842105264,6,10,0.09526315789473686,0.6459643840789795,0.3177345647542233,0.27952559242027447,0.19075166061018925,0.3177345647542233,0.31217473298090787,0.3234960287980241
20,0.7,aggregate,0.0775,0.19,0.28,0.415,7,10,0.127,0.696976363658905,0.37683111358945,0.34352335023454794,0.20987578339954244,0.37683111358945004,0.3726679645806296,0.3810883281786225
