K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness
10,0.0,aggregate,0.0225,0.045,0.0725,0.1075,5,10,0.081,0.3584985136985779,0.32220294186467263,0.2851670562960692,0.19726919572600585,0.3222029418646727,0.3146638897614313,0.3301121190743611
10,0.0,heldout,0.002564102564102564,0.020512820512820513,0.04871794871794872,0.08461538461538462,4,10,0.0876923076923077,0.35753095149993896,0.32372416255808406,0.28596967585256605,0.16667510728641927,0.3237241625580841,0.3180852456302713,0.3295666177015695
10,0.3,aggregate,0.025,0.0425,0.06,0.1,6,10,0.124,0.6532466411590576,0.36001411352945667,0.3245331393947874,0.22267751877193392,0.3600141135294567,0.3448049345747051,0.37662694602363295
10,0.3,heldout,0.002564102564102564,0.017948717948717947,0.035897435897435895,0.07692307692307693,4,10,0.12102564102564102,0.6555116772651672,0.32635372858928413,0.28818848991026214,0.17843520468787802,0.3263537285892841,0.31439757399808527,0.33925518778121505
10,0.5,aggregate,0.0175,0.0425,0.0575,0.0925,6,10,0.11899999999999998,0.6663032174110413,0.3717769524075636,0.33763886825270273,0.23136261354525917,0.37177695240756364,0.3559984683267772,0.3890189634498211
10,0.5,heldout,0.0,0.020512820512820513,0.035897435897435895,0.07179487179487179,4,10,0.11948717948717948,0.6661951541900635,0.3450467117611406,0.30861681410746195,0.19622258115736924,0.3450467117611406,0.332345709448262,0.35875705636031857
10,0.7,aggregate,0.0125,0.03,0.0525,0.075,6,10,0.1195,0.6761676073074341,0.3733429936628307,0.3409816255844139,0.22983245900626684,0.3733429936628307,0.356429349855382,0.39194181044902143
10,0.7,heldout,0.0,0.015384615384615385,0.035897435897435895,0.05897435897435897,4,10,0.1164102564102564,0.6744179129600525,0.3486426513039508,0.3141560052241105,0.19618931001365122,0.3486426513039508,0.3347771311409585,0.36370633720986817
10,0.9,aggregate,0.0125,0.0175,0.03,0.0575,6,10,0.1195,0.6699684858322144,0.44416243800435085,0.41516352431008174,0.28044367831912853,0.44416243800435096,0.4297466197514508,0.45957898057218666
10,0.9,heldout,0.005128205128205128,0.007692307692307693,0.017948717948717947,0.046153846153846156,4,10,0.11692307692307691,0.6674681901931763,0.4029370658137309,0.3709822547043064,0.2130648782168204,0.40293706581373095,0.39224464291177025,0.4142287666206214
20,0.0,aggregate,0.0475,0.0775,0.0975,0.15,5,10,0.081,0.3034602999687195,0.2278286290775883,0.1869975971382097,0.09454514825736385,0.22782862907758833,0.22768653809290926,0.22797089752076555
20,0.0,heldout,0.002631578947368421,0.031578947368421054,0.05263157894736842,0.10526315789473684,3,10,0.0731578947368421,0.301501601934433,0.2131538985683156,0.1697117120245941,0.08354193909957033,0.21315389856831563,0.2112893496571979,0.2150516483479987
20,0.3,aggregate,0.0425,0.0675,0.0875,0.14,5,10,0.102,0.6126932501792908,0.30218675746684653,0.2651733008014505,0.14804740839483224,0.3021867574668465,0.3014480356263245,0.302929108792274
20,0.3,heldout,0.0,0.021052631578947368,0.042105263157894736,0.09473684210526316,3,10,0.09684210526315788,0.6203215718269348,0.25070596919189575,0.2091353202015159,0.1115003808073115,0.25070596919189575,0.24791358427306726,0.2535619749934177
20,0.5,aggregate,0.0375,0.06,0.09,0.1125,5,10,0.09399999999999999,0.647949755191803,0.3134980301961753,0.2771713194277166,0.16151338659096182,0.3134980301961753,0.3130894994985909,0.3139076284184735
20,0.5,heldout,0.002631578947368421,0.018421052631578946,0.04736842105263158,0.06842105263157895,3,10,0.0905263157894737,0.6511585712432861,0.27079072560349987,0.23043164384282003,0.12373150204340605,0.2707907256034998,0.2680208260792737,0.2736184748285655
20,0.7,aggregate,0.0275,0.04,0.0625,0.09,5,10,0.1,0.6616559028625488,0.35418101568363475,0.32010353094409505,0.1931475235639064,0.35418101568363475,0.35444475420687865,0.3539176693585483
20,0.7,heldout,0.002631578947368421,0.010526315789473684,0.031578947368421054,0.060526315789473685,4,10,0.09105263157894737,0.6595150828361511,0.3029466970422238,0.2645203521835796,0.14618416338230025,0.3029466970422238,0.30063197611818565,0.30529733900577877
20,0.9,aggregate,0.015,0.02,0.04,0.08,6,10,0.095,0.677731990814209,0.38164091425530483,0.34853017343547277,0.22296125795226612,0.3816409142553048,0.37774702451672015,0.38561591807792805
20,0.9,heldout,0.002631578947368421,0.005263157894736842,0.02368421052631579,0.060526315789473685,4,10,0.09263157894736843,0.6715248227119446,0.34266502170015306,0.3059024477658099,0.17894431554524362,0.34266502170015306,0.33663969956972645,0.3489099622697812
50,0.0,aggregate,0.125,0.175,0.2125,0.2475,6,10,0.068,0.3286431133747101,0.209921958997964,0.1679503780465897,0.09140636236462445,0.20992195899796398,0.2078584791430074,0.2120268193444441
50,0.0,heldout,0.017142857142857144,0.06571428571428571,0.10571428571428572,0.14285714285714285,2,10,0.06342857142857143,0.3458104133605957,0.20982212891911042,0.16004094835721364,0.08244885930830174,0.20982212891911042,0.21257794995985674,0.2071368453474599
50,0.3,aggregate,0.11,0.16,0.195,0.24,6,10,0.065,0.5031432509422302,0.23549448316175825,0.19464909997745314,0.10740838640423571,0.23549448316175828,0.2332940797569936,0.23773678970485307
50,0.3,heldout,0.002857142857142857,0.054285714285714284,0.08857142857142856,0.14,2,10,0.06342857142857143,0.5346639156341553,0.23758653900470114,0.18910425565668335,0.10202362073046232,0.2375865390047011,0.240635395282875,0.2346139742763128
50,0.5,aggregate,0.085,0.1275,0.16,0.2125,8,10,0.07100000000000001,0.5974251627922058,0.26968965068499356,0.23082767499007936,0.13386611221822237,0.26968965068499356,0.2679238113263911,0.2714789211557084
50,0.5,heldout,0.008571428571428572,0.03428571428571429,0.06571428571428571,0.12,3,10,0.07200000000000001,0.611596405506134,0.2590359380838069,0.2120679692827349,0.11922475211027082,0.259035938083807,0.2630242868117895,0.25516673671784973
50,0.7,aggregate,0.045,0.075,0.1125,0.17,8,10,0.0745,0.6595920324325562,0.304072034828778,0.266944240736754,0.16673840784796348,0.304072034828778,0.30115900646368954,0.3070419674600021
50,0.7,heldout,0.005714285714285714,0.022857142857142857,0.045714285714285714,0.09714285714285714,3,10,0.06857142857142857,0.6526281237602234,0.30502750212963303,0.26104517787376236,0.1521884926476308,0.305027502129633,0.3092994289371353,0.3008719721697019
50,0.9,aggregate,0.025,0.045,0.07,0.1125,7,10,0.09449999999999999,0.687410295009613,0.36620761359083537,0.3323950357921194,0.20763461341539322,0.3662076135908353,0.36386074774661964,0.368584950072924
50,0.9,heldout,0.008571428571428572,0.025714285714285714,0.045714285714285714,0.08285714285714285,3,10,0.0897142857142857,0.6729598045349121,0.3342031280096459,0.29195388133315603,0.1889967011639435,0.33420312800964586,0.33975215246428575,0.32883245031115055
100,0.0,aggregate,0.1625,0.26,0.3075,0.365,7,10,0.064,0.2657545804977417,0.20336662922682228,0.16117573576830982,0.08234110635424652,0.20336662922682228,0.20262963931659864,0.204108999760158
100,0.0,heldout,0.01,0.06666666666666667,0.11,0.18,2,10,0.062000000000000006,0.2773313522338867,0.20423172281296298,0.14568481713149778,0.08144507753650955,0.20423172281296295,0.2020872861541673,0.2064221587019906
100,0.3,aggregate,0.1725,0.2325,0.2925,0.365,7,10,0.06,0.46031448245048523,0.21409817031353706,0.1723948240978775,0.0970174947383634,0.21409817031353706,0.21308260756292413,0.21512345987202197
100,0.3,heldout,0.02,0.05333333333333334,0.10666666666666667,0.18666666666666668,2,10,0.07333333333333333,0.4840599298477173,0.21568064042382376,0.15810011117765876,0.09940373218641382,0.2156806404238238,0.21372376458831166,0.21767368209298593
100,0.5,aggregate,0.1375,0.22,0.255,0.355,7,10,0.076,0.5490362644195557,0.22866355165328345,0.18740853005326352,0.10795196338587812,0.22866355165328345,0.2264529658599364,0.2309177214430927
100,0.5,heldout,0.01,0.056666666666666664,0.08666666666666667,0.19666666666666666,1,10,0.092,0.5679463148117065,0.2513225958819621,0.19607622682122064,0.11824761579104447,0.25132259588196215,0.24819869685993115,0.2545261338157534
100,0.7,aggregate,0.095,0.1475,0.195,0.285,6,10,0.08449999999999999,0.6374099850654602,0.2569195073173554,0.21709610246030228,0.12455127235287529,0.25691950731735536,0.25423319643298053,0.25966319332010446
100,0.7,heldout,0.01,0.03666666666666667,0.08,0.15333333333333332,1,10,0.08600000000000002,0.6215996742248535,0.29038150425577736,0.23804529476881353,0.1325164681938477,0.2903815042557774,0.2869284584598279,0.29391867392798743
100,0.9,aggregate,0.0425,0.0725,0.1175,0.1575,6,10,0.09,0.6735380291938782,0.3299455796937457,0.2941103469353746,0.18237443360921687,0.32994557969374566,0.32733794948980904,0.33259508917335595
100,0.9,heldout,0.01,0.023333333333333334,0.06,0.09333333333333334,2,10,0.088,0.6530089378356934,0.2999751068628924,0.2480023705368652,0.14462150572714813,0.29997510686289236,0.2972246480651724,0.3027769455361578
160,0.0,aggregate,0.2425,0.3475,0.405,0.4825,7,10,0.063,0.26869359612464905,0.1882863986970327,0.14537947593194403,0.07706155168306125,0.18828639869703268,0.18732332755862832,0.1892594237390799
160,0.0,heldout,0.0125,0.0625,0.125,0.22916666666666666,5,10,0.05916666666666667,0.24418458342552185,0.24661910729507006,0.17634902251415774,0.08156237743787215,0.24661910729507006,0.2412026321590517,0.2522844367596845
160,0.3,aggregate,0.2275,0.3325,0.3975,0.475,7,10,0.064,0.43132284283638,0.18665368225972584,0.14366681659839672,0.07397769503745491,0.18665368225972584,0.18613557823288013,0.18717467859812556
160,0.3,heldout,0.0125,0.0625,0.1375,0.2375,5,10,0.07083333333333333,0.4487520456314087,0.2413830667819723,0.16974934231734107,0.0816372421141587,0.2413830667819723,0.2379856231629231,0.24487891794369535
160,0.5,aggregate,0.1925,0.295,0.3525,0.435,9,10,0.0645,0.532813310623169,0.19881530060163197,0.15651613654781468,0.0815831517644311,0.19881530060163197,0.19820127234983492,0.19943314519993185
160,0.5,heldout,0.008333333333333333,0.06666666666666667,0.10833333333333334,0.20833333333333334,4,10,0.0575,0.5295922756195068,0.25685430976499285,0.1876224730352677,0.10407290190215457,0.25685430976499285,0.2533322180911615,0.2604757179071898
160,0.7,aggregate,0.1475,0.2425,0.28,0.365,7,10,0.0825,0.6039483547210693,0.24876133455748975,0.20921135781050637,0.10400223194526917,0.24876133455748978,0.24908674282294882,0.24843677541296377
160,0.7,heldout,0.0125,0.058333333333333334,0.09166666666666666,0.17083333333333334,4,10,0.07166666666666668,0.5788152813911438,0.26686418892679653,0.1994223275497949,0.10772750148693783,0.2668641889267965,0.2632688796311021,0.270559055901118
160,0.9,aggregate,0.07,0.1275,0.1525,0.2175,6,10,0.095,0.6762096881866455,0.3294952410741749,0.29413912708171963,0.17445366871401002,0.3294952410741749,0.3298341078673966,0.32915706986001236
160,0.9,heldout,0.008333333333333333,0.0375,0.058333333333333334,0.1125,3,10,0.0925,0.6435649394989014,0.3172954249821989,0.2524929837919148,0.13737403144798122,0.3172954249821989,0.3139112327427861,0.3207533805698518
