K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi
10,0.0,aggregate,0.02,0.075,0.125,0.235,7,20,0.087,0.5252278447151184,0.4151258756984357
10,0.0,heldout,0.007692307692307693,0.05897435897435897,0.1076923076923077,0.21794871794871795,8,20,0.08512820512820514,0.5233166813850403,0.40112104116505143
10,0.3,aggregate,0.025,0.075,0.1325,0.255,7,20,0.09050000000000001,0.635808527469635,0.43580732294670393
10,0.3,heldout,0.007692307692307693,0.05641025641025641,0.11282051282051282,0.2358974358974359,7,20,0.08923076923076922,0.6366987228393555,0.4198229032618288
10,0.5,aggregate,0.025,0.07,0.1425,0.255,7,20,0.113,0.6879953145980835,0.44859123183080873
10,0.5,heldout,0.015384615384615385,0.05384615384615385,0.12307692307692308,0.2358974358974359,8,20,0.10974358974358973,0.68684321641922,0.4450121076466943
10,0.7,aggregate,0.025,0.075,0.1525,0.2525,9,20,0.10800000000000001,0.7195931673049927,0.4655382593440064
10,0.7,heldout,0.015384615384615385,0.06153846153846154,0.14102564102564102,0.2358974358974359,8,20,0.10615384615384615,0.7177679538726807,0.45227491121248564
10,0.9,aggregate,0.0175,0.0825,0.155,0.2525,9,20,0.11900000000000001,0.7475039958953857,0.4704519458503922
10,0.9,heldout,0.01282051282051282,0.07692307692307693,0.14615384615384616,0.24615384615384617,9,20,0.11435897435897434,0.7452666163444519,0.47123158122447545
20,0.0,aggregate,0.045,0.105,0.19,0.3175,10,20,0.107,0.5613654851913452,0.41362842090337254
20,0.0,heldout,0.010526315789473684,0.060526315789473685,0.14736842105263157,0.28157894736842104,10,20,0.10789473684210527,0.5631520748138428,0.4171427242576131
20,0.3,aggregate,0.05,0.1125,0.1825,0.32,9,20,0.10649999999999998,0.6412397623062134,0.4429582025307866
20,0.3,heldout,0.015789473684210527,0.06842105263157895,0.1394736842105263,0.28421052631578947,10,20,0.10789473684210527,0.6427894830703735,0.4424900992853128
20,0.5,aggregate,0.045,0.1125,0.1925,0.33,10,20,0.10800000000000001,0.6756352782249451,0.4621667546347851
20,0.5,heldout,0.015789473684210527,0.07631578947368421,0.15526315789473685,0.29473684210526313,11,20,0.10631578947368421,0.676831066608429,0.4417565559051857
20,0.7,aggregate,0.035,0.115,0.18,0.325,10,20,0.107,0.717203676700592,0.47546531245221824
20,0.7,heldout,0.018421052631578946,0.0868421052631579,0.15263157894736842,0.29473684210526313,11,20,0.1068421052631579,0.715230405330658,0.44910431029441705
20,0.9,aggregate,0.0275,0.085,0.1675,0.3,10,20,0.11449999999999999,0.745424211025238,0.46713870088348697
20,0.9,heldout,0.015789473684210527,0.07105263157894737,0.15526315789473685,0.2894736842105263,9,20,0.11210526315789472,0.7419363260269165,0.44538353554369814
50,0.0,aggregate,0.09,0.18,0.2775,0.405,10,20,0.07949999999999999,0.553695023059845,0.4159991407704501
50,0.0,heldout,0.014285714285714285,0.08857142857142856,0.19142857142857142,0.3314285714285714,7,20,0.07828571428571429,0.5578331351280212,0.4090939673378389
50,0.3,aggregate,0.0925,0.1825,0.275,0.4125,10,20,0.0845,0.6149584650993347,0.41464807839881035
50,0.3,heldout,0.017142857142857144,0.1,0.19428571428571428,0.34,7,20,0.08571428571428572,0.6168180108070374,0.3944761854927837
50,0.5,aggregate,0.08,0.1825,0.2725,0.4125,10,20,0.07400000000000001,0.651409387588501,0.41894018843309894
50,0.5,heldout,0.011428571428571429,0.10285714285714286,0.2,0.3485714285714286,6,20,0.07428571428571429,0.6508396863937378,0.39909490294232597
50,0.7,aggregate,0.0625,0.1525,0.26,0.4075,10,20,0.079,0.6955656409263611,0.44602149234816557
50,0.7,heldout,0.014285714285714285,0.09428571428571429,0.2057142857142857,0.35714285714285715,7,20,0.07657142857142857,0.6873949766159058,0.4262811084124225
50,0.9,aggregate,0.04,0.1125,0.2125,0.3675,9,20,0.10949999999999999,0.7368003726005554,0.4549809341523951
50,0.9,heldout,0.022857142857142857,0.09142857142857143,0.2,0.3485714285714286,8,20,0.096,0.7247141003608704,0.43030869449338843
100,0.0,aggregate,0.16,0.3175,0.4275,0.5825,14,20,0.09849999999999999,0.5611528158187866,0.4192521142680997
100,0.0,heldout,0.023333333333333334,0.17333333333333334,0.30666666666666664,0.47,10,20,0.088,0.5604007840156555,0.4365792633218226
100,0.3,aggregate,0.1475,0.31,0.43,0.5775,15,20,0.0935,0.6174224615097046,0.4371171886823872
100,0.3,heldout,0.023333333333333334,0.17,0.31333333333333335,0.47333333333333333,11,20,0.08333333333333333,0.6200507283210754,0.43040411385399135
100,0.5,aggregate,0.1425,0.3,0.41,0.5475,15,20,0.098,0.6568076014518738,0.432681955817267
100,0.5,heldout,0.02666666666666667,0.17,0.3,0.4533333333333333,11,20,0.08333333333333333,0.6570731997489929,0.4503514402892917
100,0.7,aggregate,0.105,0.2725,0.3725,0.495,13,20,0.10149999999999998,0.6950252056121826,0.4449147721862932
100,0.7,heldout,0.016666666666666666,0.17,0.27666666666666667,0.41333333333333333,10,20,0.08066666666666666,0.6872718334197998,0.4547690346622145
100,0.9,aggregate,0.055,0.18,0.275,0.4175,12,20,0.113,0.7423486709594727,0.45124673398620924
100,0.9,heldout,0.02,0.12666666666666668,0.23333333333333334,0.38333333333333336,10,20,0.092,0.7214027643203735,0.43921873777897125
160,0.0,aggregate,0.22,0.3925,0.5075,0.645,13,20,0.11350000000000002,0.5532475113868713,0.4363425066299459
160,0.0,heldout,0.0375,0.175,0.30416666666666664,0.48333333333333334,9,20,0.07666666666666667,0.5695772171020508,0.44244800055818334
160,0.3,aggregate,0.225,0.39,0.5,0.635,13,20,0.1105,0.5808713436126709,0.4415982200241911
160,0.3,heldout,0.04583333333333333,0.19166666666666668,0.31666666666666665,0.4791666666666667,9,20,0.07916666666666666,0.6015902757644653,0.45019392964538435
160,0.5,aggregate,0.21,0.37,0.4775,0.61,13,20,0.11349999999999999,0.6196746826171875,0.4428539785811476
160,0.5,heldout,0.041666666666666664,0.1875,0.30416666666666664,0.4625,9,20,0.08166666666666668,0.6332076787948608,0.4219516739418678
160,0.7,aggregate,0.175,0.335,0.425,0.5625,12,20,0.1185,0.6622023582458496,0.4495027935008615
160,0.7,heldout,0.03333333333333333,0.1875,0.2833333333333333,0.44166666666666665,9,20,0.08000000000000002,0.6555742621421814,0.4344051310832085
160,0.9,aggregate,0.0625,0.2475,0.3075,0.4675,11,20,0.10399999999999998,0.7316269874572754,0.470882327091353
160,0.9,heldout,0.025,0.16666666666666666,0.2375,0.3958333333333333,8,20,0.07833333333333334,0.6939963698387146,0.4445437427775487
200,0.0,aggregate,0.28,0.4675,0.5725,0.6725,16,20,0.102,0.5433411598205566,0.42493997642770354
200,0.0,heldout,0.05,0.225,0.34,0.475,12,20,0.08,0.5378389358520508,0.4552329253952209
200,0.3,aggregate,0.2675,0.4575,0.5675,0.6525,13,20,0.111,0.5738982558250427,0.4385691286872568
200,0.3,heldout,0.05,0.23,0.345,0.46,12,20,0.079,0.5674287676811218,0.47061669706843706
200,0.5,aggregate,0.2375,0.445,0.535,0.6475,13,20,0.1125,0.6090152263641357,0.4275348869991061
200,0.5,heldout,0.045,0.22,0.335,0.465,13,20,0.068,0.5888816714286804,0.46962792214357335
200,0.7,aggregate,0.2125,0.395,0.4825,0.59,12,20,0.1155,0.6588292121887207,0.44994949302016213
200,0.7,heldout,0.055,0.205,0.305,0.43,12,20,0.05600000000000001,0.6331358551979065,0.4714556461553733
200,0.9,aggregate,0.08,0.2575,0.35,0.4825,12,20,0.11199999999999999,0.7331600189208984,0.48310797808537115
200,0.9,heldout,0.03,0.16,0.26,0.4,10,20,0.072,0.6758099794387817,0.4833146747020676
300,0.0,aggregate,0.3525,0.5825,0.665,0.78,14,20,0.107,0.5490832924842834,0.43643741672419784
300,0.0,heldout,0.08,0.23,0.36,0.51,7,20,0.09,0.5332759618759155,0.5668893301145017
300,0.3,aggregate,0.34,0.5625,0.66,0.76,14,20,0.10949999999999999,0.5800319910049438,0.44135334449279967
300,0.3,heldout,0.08,0.22,0.36,0.49,7,20,0.08399999999999999,0.5577688217163086,0.5625189208357463
300,0.5,aggregate,0.3275,0.515,0.635,0.7275,14,20,0.1105,0.5963510870933533,0.44589040352244724
300,0.5,heldout,0.08,0.19,0.34,0.49,7,20,0.07600000000000001,0.5704059600830078,0.5619827435490714
300,0.7,aggregate,0.2625,0.4675,0.5625,0.695,13,20,0.10399999999999998,0.6378852128982544,0.4656646858856348
300,0.7,heldout,0.04,0.2,0.31,0.5,7,20,0.07400000000000001,0.5969499945640564,0.5531288465170576
300,0.9,aggregate,0.12,0.2875,0.395,0.525,12,20,0.11600000000000002,0.7254273295402527,0.4644640927807548
