K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness
10,0.0,aggregate,0.045,0.12,0.18,0.2825,3,20,0.08,0.5040254592895508,0.3903102885066537,0.2663996031254475,0.11165655501903227,0.3903102885066537,0.3848523084888613,0.3959253059055513
10,0.0,heldout,0.03076923076923077,0.10256410256410256,0.16153846153846155,0.2641025641025641,6,20,0.07846153846153847,0.49777472019195557,0.3901391273429576,0.26123105567881977,0.11135038234013038,0.3901391273429576,0.3826326817824811,0.3979459876412561
10,0.3,aggregate,0.045,0.12,0.2,0.3025,5,20,0.08,0.5944160223007202,0.3979776906555679,0.2751649500898113,0.12018929213093302,0.39797769065556793,0.3928330007716918,0.4032589223605819
10,0.3,heldout,0.028205128205128206,0.10256410256410256,0.18205128205128204,0.28717948717948716,8,20,0.07948717948717948,0.590472400188446,0.3958265301008127,0.26763965815766355,0.11349015533523295,0.39582653010081265,0.38869512606813184,0.40322450519641345
10,0.5,aggregate,0.0475,0.1175,0.2,0.2925,6,20,0.085,0.6316653490066528,0.4060440488476084,0.2848301322423232,0.1266490403088577,0.4060440488476085,0.4006200619952286,0.4116169219629106
10,0.5,heldout,0.03076923076923077,0.10256410256410256,0.18461538461538463,0.27692307692307694,9,20,0.08615384615384616,0.6290749311447144,0.4090272296386706,0.28357605723467505,0.11941398960420545,0.40902722963867055,0.4015205050814739,0.4168199894380999
10,0.7,aggregate,0.035,0.115,0.2025,0.3075,6,20,0.10099999999999999,0.6697986721992493,0.4156540282525988,0.29688764456354444,0.13538679148487084,0.41565402825259873,0.41065629224637673,0.4207749090307167
10,0.7,heldout,0.02564102564102564,0.1,0.18717948717948718,0.2948717948717949,9,20,0.10307692307692307,0.6668488383293152,0.4162782086290967,0.2929521666519387,0.12449174243138406,0.4162782086290966,0.40909419514936035,0.42371904590693943
10,0.9,aggregate,0.025,0.1,0.17,0.285,7,20,0.1075,0.7085353136062622,0.4224759382387431,0.3046157971237437,0.15260382203930584,0.4224759382387431,0.417980233929813,0.42706940367673824
10,0.9,heldout,0.023076923076923078,0.09487179487179487,0.16153846153846155,0.2743589743589744,8,20,0.1076923076923077,0.7045921683311462,0.42745296258338555,0.3059139279843372,0.13747487692865817,0.4274529625833856,0.4207805358466316,0.43434041181102034
20,0.0,aggregate,0.07,0.155,0.1975,0.3,6,20,0.09,0.5443332195281982,0.4128846315103138,0.29269704950529046,0.1377202574250317,0.41288463151031374,0.40790501323816714,0.4179873326084431
20,0.0,heldout,0.02894736842105263,0.11315789473684211,0.15789473684210525,0.2657894736842105,7,20,0.08789473684210528,0.5397533774375916,0.3858091223122834,0.2533611289497541,0.11526544828508928,0.3858091223122834,0.3827354332298106,0.38893257971996337
20,0.3,aggregate,0.07,0.145,0.205,0.3125,6,20,0.0895,0.587287962436676,0.4134937876481486,0.29381856868015616,0.1391731834908199,0.4134937876481486,0.40832014462063443,0.4188002190395472
20,0.3,heldout,0.034210526315789476,0.10526315789473684,0.16578947368421051,0.2789473684210526,8,20,0.08421052631578947,0.5789642930030823,0.38909305734599275,0.2578148272305022,0.11490911039925723,0.38909305734599287,0.38579647634900754,0.39244646160699326
20,0.5,aggregate,0.065,0.145,0.19,0.305,6,20,0.095,0.6326549053192139,0.41239317921949215,0.292096075540989,0.14178202380563126,0.41239317921949215,0.4086414276645447,0.4162144590462656
20,0.5,heldout,0.034210526315789476,0.10526315789473684,0.15263157894736842,0.2710526315789474,7,20,0.08947368421052632,0.6252368688583374,0.3895300089324116,0.2579050449225948,0.11914730957274951,0.3895300089324116,0.387573250541421,0.39150662593152014
20,0.7,aggregate,0.055,0.14,0.1825,0.3275,7,20,0.0955,0.6693947315216064,0.42297871081269417,0.3052479198818637,0.15392401992797566,0.4229787108126941,0.41836260412997306,0.42769781989440936
20,0.7,heldout,0.031578947368421054,0.10526315789473684,0.15,0.3,7,20,0.09315789473684212,0.6630520224571228,0.40586882516313477,0.27822264768345334,0.1286168952147011,0.4058688251631347,0.40302761636217466,0.4087503775004975
20,0.9,aggregate,0.04,0.1125,0.1725,0.31,8,20,0.11349999999999999,0.7135506272315979,0.4319360373195549,0.31728185677820525,0.15595612762188343,0.4319360373195549,0.42734897977374137,0.4366226359821167
20,0.9,heldout,0.02894736842105263,0.09473684210526316,0.15263157894736842,0.2868421052631579,10,20,0.09947368421052633,0.705686092376709,0.41479758399510447,0.2903477162876443,0.13828579026406912,0.41479758399510447,0.41190813412939514,0.41772785801309664
50,0.0,aggregate,0.11,0.2125,0.28,0.3775,7,20,0.0875,0.5145382285118103,0.40281149396292726,0.27972979110052576,0.12244835444899159,0.4028114939629273,0.3988379813354355,0.4068649773340643
50,0.0,heldout,0.022857142857142857,0.12571428571428572,0.19142857142857142,0.29428571428571426,9,20,0.07257142857142858,0.51106196641922,0.3824426296777554,0.23695406737112243,0.11178478615969614,0.38244262967775533,0.37906745848612505,0.3858784450772019
50,0.3,aggregate,0.11,0.21,0.28,0.3825,7,20,0.08850000000000001,0.5669205188751221,0.40722677638731525,0.2851203490081892,0.12789658797497194,0.4072267763873152,0.4039249037541037,0.410583076060607
50,0.3,heldout,0.025714285714285714,0.12285714285714286,0.19428571428571428,0.3028571428571429,9,20,0.07771428571428571,0.5668832659721375,0.3812893692865569,0.23549561128779112,0.11194372661544534,0.3812893692865569,0.3786728215616744,0.38394232816834806
50,0.5,aggregate,0.105,0.2075,0.28,0.3975,7,20,0.083,0.606344997882843,0.39336276088765176,0.26898588345297475,0.1217484696211022,0.3933627608876518,0.3896360471200705,0.39716145216033677
50,0.5,heldout,0.02857142857142857,0.12285714285714286,0.19714285714285715,0.32571428571428573,9,20,0.07257142857142858,0.6003976464271545,0.38444571472545797,0.23993672386569392,0.11529386293053907,0.38444571472545797,0.38140004886602474,0.38754041440579523
50,0.7,aggregate,0.0875,0.18,0.2675,0.3825,9,20,0.09699999999999999,0.6549555659294128,0.3976793769278463,0.275102627243758,0.1267269461397326,0.3976793769278462,0.39355492698374983,0.4018911907961567
50,0.7,heldout,0.03428571428571429,0.11428571428571428,0.19428571428571428,0.32285714285714284,9,20,0.08571428571428572,0.6399735808372498,0.3934626462470122,0.25185796123879667,0.12376304051898263,0.39346264624701227,0.3901552374248924,0.3968266093641692
50,0.9,aggregate,0.04,0.1425,0.2325,0.3325,9,20,0.122,0.7071242332458496,0.4178822470420742,0.29991093652390793,0.1338738362693514,0.4178822470420742,0.41398550239198134,0.42185304697206133
50,0.9,heldout,0.025714285714285714,0.11714285714285715,0.2,0.3028571428571429,8,20,0.09485714285714285,0.6886286735534668,0.42578689662251706,0.2922537444956685,0.1534924177853896,0.4257868966225171,0.42262857958957656,0.42899277348208165
100,0.0,aggregate,0.165,0.2725,0.36,0.48,8,20,0.1,0.49196720123291016,0.3829327841108599,0.2570273918993374,0.11415932296502097,0.3829327841108598,0.37890553463198046,0.38704656161234
100,0.0,heldout,0.03666666666666667,0.09666666666666666,0.19333333333333333,0.35,9,20,0.06933333333333334,0.4722202718257904,0.3934017417338648,0.2257526999794877,0.10366249190341124,0.39340174173386483,0.38846604170828486,0.398464478043644
100,0.3,aggregate,0.155,0.265,0.3675,0.4925,8,20,0.0935,0.5619571208953857,0.3987033509297893,0.27553171437789714,0.12463405543771247,0.39870335092978937,0.39465158290998376,0.40283917850856293
100,0.3,heldout,0.03333333333333333,0.1,0.20666666666666667,0.36666666666666664,10,20,0.06466666666666666,0.5428058505058289,0.4043372671099062,0.23992298775458135,0.11332301086210686,0.40433726710990625,0.39934643465547887,0.4094544241731341
100,0.5,aggregate,0.1425,0.2775,0.365,0.4775,8,20,0.0995,0.5932612419128418,0.40028756049492953,0.27783496164718063,0.12927972394814777,0.4002875604949295,0.3961377776238016,0.40452520676038595
100,0.5,heldout,0.03666666666666667,0.12,0.21,0.35,11,20,0.07133333333333335,0.5676517486572266,0.4000349691092986,0.2334334529057363,0.11273376834403091,0.40003496910929864,0.39537960449230597,0.4048012683318538
100,0.7,aggregate,0.1175,0.255,0.33,0.4675,9,20,0.09849999999999999,0.6480031609535217,0.40810852635705525,0.28695648394806195,0.13031158766232812,0.40810852635705525,0.4037074382695476,0.4126066305643676
100,0.7,heldout,0.03666666666666667,0.12666666666666668,0.19333333333333333,0.3566666666666667,10,20,0.06533333333333334,0.6178188920021057,0.39753515241955745,0.2291692464958117,0.11259394847758801,0.39753515241955745,0.39364124011431395,0.40150687181651934
100,0.9,aggregate,0.06,0.1725,0.2825,0.3975,11,20,0.12300000000000001,0.7033770084381104,0.4409172886151168,0.3261740955886799,0.15511394580343515,0.4409172886151168,0.4373507601330265,0.4445424643438586
100,0.9,heldout,0.02666666666666667,0.11666666666666667,0.22,0.33,8,20,0.08866666666666667,0.6635984182357788,0.41997783214706397,0.2573511678705039,0.12819794420932598,0.419977832147064,0.4169447193699052,0.4230553977637781
160,0.0,aggregate,0.245,0.375,0.465,0.58,9,20,0.1125,0.5200617909431458,0.3984371590430947,0.27552791817529443,0.12159650376154856,0.39843715904309474,0.39341239971537667,0.40359193386912406
160,0.0,heldout,0.0375,0.125,0.21666666666666667,0.37083333333333335,10,20,0.07666666666666666,0.49564704298973083,0.41048911750275835,0.20745580545884354,0.10204547990227322,0.41048911750275835,0.40265556502372035,0.41863351660377845
160,0.3,aggregate,0.2225,0.37,0.465,0.5775,9,20,0.11349999999999999,0.5537468194961548,0.39128301941268007,0.26636132182210737,0.12026242287094352,0.39128301941268007,0.38733870672143367,0.39530848927705453
160,0.3,heldout,0.0375,0.13333333333333333,0.22083333333333333,0.375,10,20,0.075,0.5225486755371094,0.41715228503003915,0.21375643254816773,0.1064269833767234,0.41715228503003915,0.4103033818658189,0.42423371739906
160,0.5,aggregate,0.195,0.3575,0.4475,0.5625,9,20,0.11900000000000001,0.6042453050613403,0.4064513653164684,0.28422636984706584,0.12671397571702114,0.40645136531646847,0.402494796765064,0.41048649313066743
160,0.5,heldout,0.041666666666666664,0.12916666666666668,0.21666666666666667,0.3541666666666667,9,20,0.07333333333333333,0.5756433010101318,0.4018520601589687,0.19330317989494591,0.09132054857320114,0.4018520601589687,0.39464450426447073,0.40932778284649385
160,0.7,aggregate,0.1575,0.335,0.415,0.5375,9,20,0.11199999999999999,0.6528369188308716,0.409141315514736,0.28926094921105094,0.12487472970572155,0.4091413155147359,0.4044156650706483,0.4139787114180669
160,0.7,heldout,0.04583333333333333,0.14166666666666666,0.22083333333333333,0.35833333333333334,9,20,0.075,0.6095825433731079,0.41397218996209195,0.2135670014769389,0.10490451310264451,0.413972189962092,0.4060916690427925,0.42216461882395995
160,0.9,aggregate,0.08,0.235,0.31,0.435,11,20,0.12300000000000001,0.7010822892189026,0.42509880090607427,0.307281366401673,0.14454404090847925,0.42509880090607427,0.4216539369822845,0.4286004167667201
160,0.9,heldout,0.03333333333333333,0.1375,0.2125,0.325,8,20,0.07583333333333335,0.6477417945861816,0.4032205794087381,0.19521295805791347,0.0969714318331489,0.4032205794087381,0.3975851161409349,0.40901809637915326
200,0.0,aggregate,0.24,0.4275,0.54,0.645,11,20,0.1045,0.49186816811561584,0.3878270386555453,0.26299193323273096,0.12254463091003752,0.38782703865554524,0.383045327931712,0.3927296426210558
200,0.0,heldout,0.02,0.14,0.26,0.395,7,20,0.076,0.46892690658569336,0.4479066102319248,0.22489439902112912,0.10816709589920813,0.44790661023192485,0.44114907155565536,0.4548743939314276
200,0.3,aggregate,0.25,0.43,0.525,0.6375,11,20,0.109,0.5379977226257324,0.4012293545450103,0.2792086582680923,0.12773598490611382,0.40122935454501035,0.3960331757005915,0.40656369981072693
