K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness
10,0.0,aggregate,0.025,0.0725,0.11,0.1775,5,20,0.09699999999999999,0.47730737924575806,0.3809101544717061,0.25686407565943026,0.13289708180669216,0.3809101544717062,0.37894180921859477,0.3828990549278002
10,0.0,heldout,0.005128205128205128,0.04871794871794872,0.08717948717948718,0.1564102564102564,4,20,0.08615384615384614,0.4754178822040558,0.3958062611395262,0.2690157273832649,0.13538711919664215,0.39580626113952616,0.39109334208325636,0.40063415292581656
10,0.3,aggregate,0.0275,0.0675,0.1175,0.1775,5,20,0.107,0.5594002604484558,0.3834884684838931,0.25959689230552635,0.1281552406776672,0.38348846848389306,0.3818674708914848,0.3851232867604055
10,0.3,heldout,0.005128205128205128,0.046153846153846156,0.09743589743589744,0.1564102564102564,4,20,0.09948717948717949,0.559913158416748,0.39549257268837784,0.2682879407505766,0.13224904333626816,0.39549257268837784,0.3910946964284155,0.399990482434985
10,0.5,aggregate,0.0325,0.0625,0.115,0.19,5,20,0.11449999999999999,0.6201074719429016,0.4092723027659099,0.29058407787763896,0.1475819597713118,0.4092723027659099,0.4072305931430152,0.4113345883638808
10,0.5,heldout,0.010256410256410256,0.041025641025641026,0.09487179487179487,0.1717948717948718,4,20,0.10666666666666667,0.6201829314231873,0.41926991899035276,0.2970838046711429,0.1463895247788411,0.41926991899035276,0.41436527498801706,0.42429206162854877
10,0.7,aggregate,0.025,0.0625,0.13,0.2025,5,20,0.1125,0.6566895246505737,0.42042447233155705,0.303271065082818,0.1594344221506655,0.4204244723315571,0.4180398160754999,0.42283649062234524
10,0.7,heldout,0.007692307692307693,0.04358974358974359,0.11025641025641025,0.18461538461538463,6,20,0.10871794871794871,0.6558693647384644,0.432699457027807,0.31251394663201615,0.1565376875738441,0.432699457027807,0.42753804189227435,0.43798701648342603
10,0.9,aggregate,0.0175,0.0525,0.09,0.1775,4,20,0.136,0.7688922882080078,0.47698317744808955,0.37214303406660687,0.20205656322485568,0.4769831774480895,0.47524280861721124,0.4787363398082634
10,0.9,heldout,0.015384615384615385,0.046153846153846156,0.07948717948717948,0.16666666666666666,5,20,0.12974358974358974,0.7665148973464966,0.4780419161857535,0.36844469624203185,0.19270806995458534,0.47804191618575353,0.4730225677840716,0.48316892990824545
20,0.0,aggregate,0.0475,0.11,0.1575,0.23,6,20,0.08899999999999998,0.4955662190914154,0.3870773500473824,0.2640073203119813,0.12454439905889395,0.3870773500473824,0.3842833202810035,0.3899123067940438
