K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness
10,0.0,aggregate,0.0275,0.0575,0.075,0.1325,6,20,0.0745,0.2806743085384369,0.35559334947445903,0.2380875825709526,0.11899731032336078,0.35559334947445903,0.36361793505131357,0.34791530106763235
10,0.0,heldout,0.005128205128205128,0.035897435897435895,0.05384615384615385,0.11282051282051282,4,20,0.06974358974358975,0.28028351068496704,0.35511700004308483,0.23206091338577284,0.11429688103047177,0.3551170000430849,0.3599366892827895,0.35042468022436973
10,0.3,aggregate,0.025,0.0525,0.07,0.13,8,20,0.095,0.6584733724594116,0.3696487089905437,0.25670955436409176,0.14078971059724515,0.36964870899054375,0.37618643750209924,0.3633343366079517
10,0.3,heldout,0.007692307692307693,0.03333333333333333,0.05128205128205128,0.11282051282051282,4,20,0.09128205128205129,0.6603630781173706,0.3636598905092557,0.2444075049164718,0.1187623715078326,0.3636598905092557,0.3668178622539687,0.3605558292344922
10,0.5,aggregate,0.0125,0.0475,0.075,0.115,7,20,0.11200000000000002,0.7310075163841248,0.4147635002429153,0.30927082150918256,0.1787717886824114,0.4147635002429153,0.4212787914901668,0.4084466643822595
10,0.5,heldout,0.002564102564102564,0.03076923076923077,0.05897435897435897,0.1,2,20,0.10564102564102563,0.7304969429969788,0.4065472088977218,0.2946730316004241,0.1511059841330473,0.4065472088977218,0.40917104095378154,0.40395681336605627
10,0.7,aggregate,0.0175,0.04,0.0675,0.095,6,20,0.11299999999999999,0.7644527554512024,0.438747154134267,0.33585475538313175,0.20415896225821656,0.43874715413426707,0.44893970124842525,0.4290071477294354
10,0.7,heldout,0.007692307692307693,0.028205128205128206,0.05384615384615385,0.08205128205128205,0,20,0.11487179487179486,0.7659727334976196,0.44503197640270836,0.33858272605918766,0.19000430616804312,0.4450319764027083,0.4512070880439067,0.43902360497924264
10,0.9,aggregate,0.0075,0.015,0.0425,0.0725,6,20,0.1145,0.7859541177749634,0.43845798416648435,0.3358423624907107,0.17823122795373048,0.43845798416648435,0.45020145398545053,0.42731159454596773
10,0.9,heldout,0.005128205128205128,0.01282051282051282,0.041025641025641026,0.07179487179487179,1,20,0.10666666666666667,0.7849350571632385,0.4549533617434636,0.350739233739879,0.18703669522732386,0.4549533617434635,0.4625884351118018,0.44756623150977776
20,0.0,aggregate,0.03,0.07,0.1075,0.175,8,20,0.0825,0.2759207785129547,0.3607189342686254,0.24528361728186024,0.10119510484937219,0.3607189342686254,0.3688346409144128,0.3529526884724527
20,0.0,heldout,0.0,0.02894736842105263,0.06842105263157895,0.1368421052631579,2,20,0.06736842105263158,0.27417901158332825,0.3572646273464036,0.23328965318792538,0.09231001062656136,0.3572646273464035,0.3628869463813579,0.3518138669358713
20,0.3,aggregate,0.0325,0.0725,0.1175,0.1725,6,20,0.0965,0.6190046668052673,0.3835129790190542,0.2719053500634489,0.11356209307100774,0.3835129790190541,0.39078615967057756,0.3765055836484232
20,0.3,heldout,0.005263157894736842,0.031578947368421054,0.07894736842105263,0.1368421052631579,3,20,0.09368421052631579,0.6229606866836548,0.3568168041482778,0.23244372127482832,0.11104275142734547,0.3568168041482778,0.36128682981049737,0.3524560375696376
20,0.5,aggregate,0.025,0.0575,0.09,0.16,7,20,0.099,0.6954553723335266,0.3978342044876961,0.29028875332359644,0.13445528030576967,0.397834204487696,0.4033239460081985,0.3924919006038545
20,0.5,heldout,0.002631578947368421,0.02894736842105263,0.05789473684210526,0.13157894736842105,5,20,0.09684210526315788,0.6939783096313477,0.36342342453029686,0.24200813556662085,0.12052058555975426,0.36342342453029686,0.36598998252732806,0.36089261258158023
20,0.7,aggregate,0.0175,0.055,0.0675,0.1275,6,20,0.10949999999999999,0.7422822713851929,0.4170385923230418,0.31132160018259625,0.1705624208383762,0.4170385923230418,0.426910658697619,0.4076127784621736
20,0.7,heldout,0.005263157894736842,0.034210526315789476,0.04736842105263158,0.10526315789473684,4,20,0.10631578947368421,0.7403038740158081,0.4076318961092711,0.29292562084529605,0.15378288195043485,0.40763189610927103,0.4143229069978561,0.4011535605019969
20,0.9,aggregate,0.01,0.02,0.045,0.085,6,20,0.11800000000000001,0.7935349345207214,0.4521164068400027,0.35198233233496584,0.17763533133705914,0.45211640684000276,0.4643026823115547,0.4405534629585865
20,0.9,heldout,0.007894736842105263,0.015789473684210527,0.042105263157894736,0.08157894736842106,2,20,0.11789473684210526,0.791650116443634,0.4471649518332875,0.3391197622421825,0.17552591141135337,0.4471649518332875,0.4558966098436811,0.43876147812370114
50,0.0,aggregate,0.065,0.12,0.175,0.23,7,20,0.066,0.28445202112197876,0.3368478639931186,0.21474423575859775,0.09075383074403268,0.33684786399311856,0.34571217073267313,0.3284267673307416
50,0.0,heldout,0.008571428571428572,0.04,0.09142857142857143,0.14857142857142858,5,20,0.05714285714285714,0.2745148837566376,0.3594178380499114,0.21684470341555073,0.08957176391113718,0.3594178380499114,0.35846529480490213,0.36037545713419994
50,0.3,aggregate,0.0625,0.1,0.14,0.2275,7,20,0.0745,0.5438166856765747,0.365082587442117,0.2487041679371621,0.10630387423524429,0.365082587442117,0.3754981672563896,0.35522922809130775
50,0.3,heldout,0.002857142857142857,0.03428571428571429,0.07142857142857142,0.14285714285714285,3,20,0.07428571428571429,0.5474340915679932,0.3813764438616194,0.2439820148298436,0.1057660265176428,0.3813764438616194,0.38152029972803914,0.38123269643876184
50,0.5,aggregate,0.06,0.09,0.1325,0.185,7,20,0.0875,0.6273180842399597,0.35724351729676945,0.24068551515802478,0.10818219174813902,0.35724351729676945,0.36653042342242537,0.348415592801846
