image_encoder,audio_encoder,cka,pearson_r_identity
clip-base,clap-unfused,0.29168030619621277,0.2704467177391052
clip-base,clap-fused,0.2933785021305084,0.2687942087650299
clip-base,clap-larger,0.28562772274017334,0.277827650308609
clip-base,mert-95m,0.19584721326828003,0.14182378351688385
clip-base,mert-330m,0.20919667184352875,0.20017780363559723
clip-large,clap-unfused,0.2870064675807953,0.20830580592155457
clip-large,clap-fused,0.2915353775024414,0.21797819435596466
clip-large,clap-larger,0.2842681407928467,0.224004328250885
clip-large,mert-95m,0.19269387423992157,0.13425160944461823
clip-large,mert-330m,0.200081467628479,0.14924685657024384
dinov2-small,clap-unfused,0.2635825574398041,0.24535545706748962
dinov2-small,clap-fused,0.2722139358520508,0.24386030435562134
dinov2-small,clap-larger,0.27324700355529785,0.2395125925540924
dinov2-small,mert-95m,0.1801411360502243,0.1546979546546936
dinov2-small,mert-330m,0.1661817878484726,0.16593778133392334
dinov2-base,clap-unfused,0.2647867500782013,0.2541143298149109
dinov2-base,clap-fused,0.27724745869636536,0.2421061247587204
dinov2-base,clap-larger,0.27703049778938293,0.23060359060764313
dinov2-base,mert-95m,0.18012700974941254,0.15107038617134094
dinov2-base,mert-330m,0.15942002832889557,0.15987718105316162
dinov2-large,clap-unfused,0.26892563700675964,0.25170618295669556
dinov2-large,clap-fused,0.2811887264251709,0.2425680160522461
dinov2-large,clap-larger,0.28684577345848083,0.23378965258598328
dinov2-large,mert-95m,0.189473494887352,0.15021702647209167
dinov2-large,mert-330m,0.1574271321296692,0.16171163320541382
vit-mae-base,clap-unfused,0.14145024120807648,0.11771083623170853
vit-mae-base,clap-fused,0.15802139043807983,0.14224475622177124
vit-mae-base,clap-larger,0.15557493269443512,0.12071216851472855
vit-mae-base,mert-95m,0.120015949010849,0.12324145436286926
vit-mae-base,mert-330m,0.10483807325363159,0.13572588562965393
