recipe,K_cl,ami,ami_chance
D (caption-cost FGW),5,0.14098413379678076,0.0004592618502587451
D (caption-cost FGW),10,0.13537482671041093,-0.00019595026946627527
D (caption-cost FGW),15,0.13152884220606328,-0.00038904975769344307
D (caption-cost FGW),20,0.1268034766812676,-0.00032520117775449635
D (caption-cost FGW),30,0.12475907720306263,-0.00029368761973047516
D (caption-cost FGW),50,0.08503250137854092,0.0007991009443685973
D (caption-cost FGW),75,0.07144114051923779,0.00042290681613910174
D (caption-cost FGW),100,0.0690800584998283,0.00037091965081220924
C-transitive (text bridge),5,0.2043730990658655,0.0004592618502587451
C-transitive (text bridge),10,0.24150512411242178,-0.00019595026946627527
C-transitive (text bridge),15,0.2203938817638906,-0.00038904975769344307
C-transitive (text bridge),20,0.22383856032250396,-0.00032520117775449635
C-transitive (text bridge),30,0.23147308134909247,-0.00029368761973047516
C-transitive (text bridge),50,0.21004125294951734,0.0007991009443685973
C-transitive (text bridge),75,0.2123951805596375,0.00042290681613910174
C-transitive (text bridge),100,0.1923644378192388,0.00037091965081220924
Pure-GW (no signal),5,0.3401308849404637,0.0004592618502587451
Pure-GW (no signal),10,0.29122404388287937,-0.00019595026946627527
Pure-GW (no signal),15,0.2988125466335536,-0.00038904975769344307
Pure-GW (no signal),20,0.2522284374597624,-0.00032520117775449635
Pure-GW (no signal),30,0.20404045479203392,-0.00029368761973047516
Pure-GW (no signal),50,0.20903767020463979,0.0007991009443685973
Pure-GW (no signal),75,0.17006789221533228,0.00042290681613910174
Pure-GW (no signal),100,0.16562376190348438,0.00037091965081220924
Text-only (cosine),5,0.18818166226371488,0.0004592618502587451
Text-only (cosine),10,0.16715840358117415,-0.00019595026946627527
Text-only (cosine),15,0.1681126152666673,-0.00038904975769344307
Text-only (cosine),20,0.16270634955575564,-0.00032520117775449635
Text-only (cosine),30,0.1818760641122644,-0.00029368761973047516
Text-only (cosine),50,0.16114981043787288,0.0007991009443685973
Text-only (cosine),75,0.14160240768606389,0.00042290681613910174
Text-only (cosine),100,0.14095538401918997,0.00037091965081220924
