recipe,k,category_recall,category_recall_chance
D (caption-cost FGW),1,0.0675,0.08447500000000001
D (caption-cost FGW),3,0.0725,0.08447500000000001
D (caption-cost FGW),5,0.079,0.08447500000000001
D (caption-cost FGW),10,0.08100000000000002,0.08447500000000001
D (caption-cost FGW),20,0.07937500000000001,0.08447500000000001
D (caption-cost FGW),50,0.0786,0.08447500000000001
D (caption-cost FGW),100,0.075425,0.08447500000000001
C-transitive (text bridge),1,0.085,0.08447500000000001
C-transitive (text bridge),3,0.09083333333333332,0.08447500000000001
C-transitive (text bridge),5,0.09,0.08447500000000001
C-transitive (text bridge),10,0.08649999999999998,0.08447500000000001
C-transitive (text bridge),20,0.08125,0.08447500000000001
C-transitive (text bridge),50,0.0766,0.08447500000000001
C-transitive (text bridge),100,0.077075,0.08447500000000001
Pure-GW (no signal),1,0.0475,0.08447500000000001
Pure-GW (no signal),3,0.06333333333333332,0.08447500000000001
Pure-GW (no signal),5,0.0645,0.08447500000000001
Pure-GW (no signal),10,0.061500000000000006,0.08447500000000001
Pure-GW (no signal),20,0.069375,0.08447500000000001
Pure-GW (no signal),50,0.07005,0.08447500000000001
Pure-GW (no signal),100,0.069125,0.08447500000000001
Text-only (cosine),1,0.075,0.08447500000000001
Text-only (cosine),3,0.08,0.08447500000000001
Text-only (cosine),5,0.086,0.08447500000000001
Text-only (cosine),10,0.08100000000000002,0.08447500000000001
Text-only (cosine),20,0.079,0.08447500000000001
Text-only (cosine),50,0.07830000000000001,0.08447500000000001
Text-only (cosine),100,0.07615000000000001,0.08447500000000001
