recipe,pair,rank
Random (baseline),canonical,93
Random (baseline),canonical,31
Random (baseline),canonical,48
Random (baseline),canonical,112
Random (baseline),canonical,309
Random (baseline),canonical,46
Random (baseline),canonical,194
Random (baseline),canonical,97
Random (baseline),canonical,349
Random (baseline),canonical,302
Random (baseline),canonical,291
Random (baseline),canonical,377
Random (baseline),canonical,181
Random (baseline),canonical,39
Random (baseline),canonical,156
Random (baseline),canonical,376
Random (baseline),canonical,222
Random (baseline),canonical,335
Random (baseline),canonical,290
Random (baseline),canonical,69
Random (baseline),canonical,339
Random (baseline),canonical,56
Random (baseline),canonical,142
Random (baseline),canonical,125
Random (baseline),canonical,88
Random (baseline),canonical,344
Random (baseline),canonical,364
Random (baseline),canonical,198
Random (baseline),canonical,122
Random (baseline),canonical,126
Random (baseline),canonical,312
Random (baseline),canonical,49
Random (baseline),canonical,382
Random (baseline),canonical,136
Random (baseline),canonical,104
Random (baseline),canonical,144
Random (baseline),canonical,343
Random (baseline),canonical,270
Random (baseline),canonical,106
Random (baseline),canonical,252
Random (baseline),canonical,22
Random (baseline),canonical,36
Random (baseline),canonical,275
Random (baseline),canonical,127
Random (baseline),canonical,349
Random (baseline),canonical,351
Random (baseline),canonical,211
Random (baseline),canonical,31
Random (baseline),canonical,125
Random (baseline),canonical,399
Random (baseline),canonical,279
Random (baseline),canonical,236
Random (baseline),canonical,135
Random (baseline),canonical,248
Random (baseline),canonical,339
Random (baseline),canonical,353
Random (baseline),canonical,362
Random (baseline),canonical,59
Random (baseline),canonical,50
Random (baseline),canonical,159
Random (baseline),canonical,394
Random (baseline),canonical,385
Random (baseline),canonical,62
Random (baseline),canonical,28
Random (baseline),canonical,4
Random (baseline),canonical,326
Random (baseline),canonical,112
Random (baseline),canonical,176
Random (baseline),canonical,33
Random (baseline),canonical,308
Random (baseline),canonical,14
Random (baseline),canonical,162
Random (baseline),canonical,65
Random (baseline),canonical,44
Random (baseline),canonical,82
Random (baseline),canonical,47
Random (baseline),canonical,252
Random (baseline),canonical,198
Random (baseline),canonical,87
Random (baseline),canonical,208
Random (baseline),canonical,231
Random (baseline),canonical,116
Random (baseline),canonical,153
Random (baseline),canonical,300
Random (baseline),canonical,390
Random (baseline),canonical,241
Random (baseline),canonical,246
Random (baseline),canonical,31
Random (baseline),canonical,320
Random (baseline),canonical,41
Random (baseline),canonical,240
Random (baseline),canonical,313
Random (baseline),canonical,247
Random (baseline),canonical,142
Random (baseline),canonical,71
Random (baseline),canonical,353
Random (baseline),canonical,183
Random (baseline),canonical,21
Random (baseline),canonical,25
Random (baseline),canonical,283
Random (baseline),canonical,57
Random (baseline),canonical,99
Random (baseline),canonical,196
Random (baseline),canonical,50
Random (baseline),canonical,303
Random (baseline),canonical,235
Random (baseline),canonical,99
Random (baseline),canonical,2
Random (baseline),canonical,329
Random (baseline),canonical,7
Random (baseline),canonical,241
Random (baseline),canonical,305
Random (baseline),canonical,52
Random (baseline),canonical,147
Random (baseline),canonical,98
Random (baseline),canonical,96
Random (baseline),canonical,374
Random (baseline),canonical,249
Random (baseline),canonical,187
Random (baseline),canonical,108
Random (baseline),canonical,251
Random (baseline),canonical,23
Random (baseline),canonical,383
Random (baseline),canonical,36
Random (baseline),canonical,5
Random (baseline),canonical,109
Random (baseline),canonical,51
Random (baseline),canonical,386
Random (baseline),canonical,133
Random (baseline),canonical,44
Random (baseline),canonical,43
Random (baseline),canonical,371
Random (baseline),canonical,101
Random (baseline),canonical,240
Random (baseline),canonical,255
Random (baseline),canonical,165
Random (baseline),canonical,120
Random (baseline),canonical,369
Random (baseline),canonical,47
Random (baseline),canonical,145
Random (baseline),canonical,282
Random (baseline),canonical,97
Random (baseline),canonical,294
Random (baseline),canonical,366
Random (baseline),canonical,140
Random (baseline),canonical,116
Random (baseline),canonical,237
Random (baseline),canonical,27
Random (baseline),canonical,75
Random (baseline),canonical,21
Random (baseline),canonical,144
Random (baseline),canonical,195
Random (baseline),canonical,26
Random (baseline),canonical,44
Random (baseline),canonical,84
Random (baseline),canonical,169
Random (baseline),canonical,329
Random (baseline),canonical,337
Random (baseline),canonical,256
Random (baseline),canonical,164
Random (baseline),canonical,92
Random (baseline),canonical,109
Random (baseline),canonical,368
Random (baseline),canonical,89
Random (baseline),canonical,205
Random (baseline),canonical,245
Random (baseline),canonical,161
Random (baseline),canonical,68
Random (baseline),canonical,279
Random (baseline),canonical,290
Random (baseline),canonical,371
Random (baseline),canonical,132
Random (baseline),canonical,109
Random (baseline),canonical,32
Random (baseline),canonical,126
Random (baseline),canonical,166
Random (baseline),canonical,7
Random (baseline),canonical,213
Random (baseline),canonical,219
Random (baseline),canonical,203
Random (baseline),canonical,18
Random (baseline),canonical,341
Random (baseline),canonical,73
Random (baseline),canonical,44
Random (baseline),canonical,295
Random (baseline),canonical,287
Random (baseline),canonical,152
Random (baseline),canonical,201
Random (baseline),canonical,284
Random (baseline),canonical,8
Random (baseline),canonical,161
Random (baseline),canonical,260
Random (baseline),canonical,389
Random (baseline),canonical,95
Random (baseline),canonical,90
Random (baseline),canonical,173
Random (baseline),canonical,187
Random (baseline),canonical,362
Random (baseline),canonical,188
Random (baseline),canonical,356
Random (baseline),canonical,262
Random (baseline),canonical,244
Random (baseline),canonical,390
Random (baseline),canonical,399
Random (baseline),canonical,215
Random (baseline),canonical,21
Random (baseline),canonical,51
Random (baseline),canonical,276
Random (baseline),canonical,389
Random (baseline),canonical,60
Random (baseline),canonical,89
Random (baseline),canonical,125
Random (baseline),canonical,251
Random (baseline),canonical,19
Random (baseline),canonical,326
Random (baseline),canonical,4
Random (baseline),canonical,167
Random (baseline),canonical,296
Random (baseline),canonical,30
Random (baseline),canonical,13
Random (baseline),canonical,372
Random (baseline),canonical,98
Random (baseline),canonical,38
Random (baseline),canonical,198
Random (baseline),canonical,335
Random (baseline),canonical,300
Random (baseline),canonical,10
Random (baseline),canonical,184
Random (baseline),canonical,375
Random (baseline),canonical,219
Random (baseline),canonical,142
Random (baseline),canonical,97
Random (baseline),canonical,204
Random (baseline),canonical,155
Random (baseline),canonical,394
Random (baseline),canonical,150
Random (baseline),canonical,397
Random (baseline),canonical,283
Random (baseline),canonical,316
Random (baseline),canonical,222
Random (baseline),canonical,132
Random (baseline),canonical,35
Random (baseline),canonical,41
Random (baseline),canonical,98
Random (baseline),canonical,244
Random (baseline),canonical,198
Random (baseline),canonical,383
Random (baseline),canonical,241
Random (baseline),canonical,36
Random (baseline),canonical,175
Random (baseline),canonical,189
Random (baseline),canonical,92
Random (baseline),canonical,377
Random (baseline),canonical,47
Random (baseline),canonical,379
Random (baseline),canonical,154
Random (baseline),canonical,253
Random (baseline),canonical,199
Random (baseline),canonical,199
Random (baseline),canonical,231
Random (baseline),canonical,315
Random (baseline),canonical,217
Random (baseline),canonical,208
Random (baseline),canonical,21
Random (baseline),canonical,378
Random (baseline),canonical,291
Random (baseline),canonical,387
Random (baseline),canonical,108
Random (baseline),canonical,224
Random (baseline),canonical,42
Random (baseline),canonical,386
Random (baseline),canonical,62
Random (baseline),canonical,269
Random (baseline),canonical,238
Random (baseline),canonical,340
Random (baseline),canonical,177
Random (baseline),canonical,83
Random (baseline),canonical,255
Random (baseline),canonical,227
Random (baseline),canonical,59
Random (baseline),canonical,318
Random (baseline),canonical,112
Random (baseline),canonical,292
Random (baseline),canonical,15
Random (baseline),canonical,383
Random (baseline),canonical,102
Random (baseline),canonical,118
Random (baseline),canonical,293
Random (baseline),canonical,252
Random (baseline),canonical,239
Random (baseline),canonical,121
Random (baseline),canonical,119
Random (baseline),canonical,191
Random (baseline),canonical,132
Random (baseline),canonical,260
Random (baseline),canonical,88
Random (baseline),canonical,393
Random (baseline),canonical,243
Random (baseline),canonical,212
Random (baseline),canonical,329
Random (baseline),canonical,257
Random (baseline),canonical,153
Random (baseline),canonical,320
Random (baseline),canonical,236
Random (baseline),canonical,178
Random (baseline),canonical,205
Random (baseline),canonical,178
Random (baseline),canonical,340
Random (baseline),canonical,342
Random (baseline),canonical,385
Random (baseline),canonical,6
Random (baseline),canonical,187
Random (baseline),canonical,212
Random (baseline),canonical,110
Random (baseline),canonical,255
Random (baseline),canonical,117
Random (baseline),canonical,31
Random (baseline),canonical,67
Random (baseline),canonical,36
Random (baseline),canonical,365
Random (baseline),canonical,381
Random (baseline),canonical,392
Random (baseline),canonical,124
Random (baseline),canonical,356
Random (baseline),canonical,6
Random (baseline),canonical,123
Random (baseline),canonical,189
Random (baseline),canonical,150
Random (baseline),canonical,191
Random (baseline),canonical,362
Random (baseline),canonical,285
Random (baseline),canonical,260
Random (baseline),canonical,77
Random (baseline),canonical,392
Random (baseline),canonical,20
Random (baseline),canonical,283
Random (baseline),canonical,331
Random (baseline),canonical,93
Random (baseline),canonical,184
Random (baseline),canonical,378
Random (baseline),canonical,195
Random (baseline),canonical,333
Random (baseline),canonical,353
Random (baseline),canonical,332
Random (baseline),canonical,134
Random (baseline),canonical,323
Random (baseline),canonical,297
Random (baseline),canonical,251
Random (baseline),canonical,363
Random (baseline),canonical,51
Random (baseline),canonical,155
Random (baseline),canonical,213
Random (baseline),canonical,124
Random (baseline),canonical,276
Random (baseline),canonical,44
Random (baseline),canonical,233
Random (baseline),canonical,207
Random (baseline),canonical,240
Random (baseline),canonical,353
Random (baseline),canonical,348
Random (baseline),canonical,274
Random (baseline),canonical,384
Random (baseline),canonical,134
Random (baseline),canonical,54
Random (baseline),canonical,233
Random (baseline),canonical,90
Random (baseline),canonical,400
Random (baseline),canonical,86
Random (baseline),canonical,372
Random (baseline),canonical,375
Random (baseline),canonical,146
Random (baseline),canonical,253
Random (baseline),canonical,268
Random (baseline),canonical,260
Random (baseline),canonical,251
Random (baseline),canonical,67
Random (baseline),canonical,22
Random (baseline),canonical,240
Random (baseline),canonical,330
Random (baseline),canonical,367
Random (baseline),canonical,85
Random (baseline),canonical,250
Random (baseline),canonical,399
Random (baseline),canonical,81
Random (baseline),canonical,345
Random (baseline),canonical,394
Random (baseline),canonical,355
Random (baseline),canonical,215
Random (baseline),canonical,109
Random (baseline),canonical,295
Random (baseline),canonical,349
Random (baseline),canonical,108
Random (baseline),canonical,178
Random (baseline),canonical,379
Random (baseline),canonical,309
Random (baseline),canonical,62
Random (baseline),canonical,338
Random (baseline),canonical,344
Random (baseline),canonical,395
Random (baseline),canonical,312
Transitive Transport Bridge,canonical,270
Transitive Transport Bridge,canonical,4
Transitive Transport Bridge,canonical,64
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,12
Transitive Transport Bridge,canonical,4
Transitive Transport Bridge,canonical,46
Transitive Transport Bridge,canonical,20
Transitive Transport Bridge,canonical,50
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,135
Transitive Transport Bridge,canonical,30
Transitive Transport Bridge,canonical,24
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,6
Transitive Transport Bridge,canonical,21
Transitive Transport Bridge,canonical,4
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,9
Transitive Transport Bridge,canonical,156
Transitive Transport Bridge,canonical,16
Transitive Transport Bridge,canonical,18
Transitive Transport Bridge,canonical,3
Transitive Transport Bridge,canonical,3
Transitive Transport Bridge,canonical,11
Transitive Transport Bridge,canonical,36
Transitive Transport Bridge,canonical,20
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,8
Transitive Transport Bridge,canonical,47
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,68
Transitive Transport Bridge,canonical,28
Transitive Transport Bridge,canonical,118
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,8
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,4
Transitive Transport Bridge,canonical,12
Transitive Transport Bridge,canonical,72
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,92
Transitive Transport Bridge,canonical,5
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,163
Transitive Transport Bridge,canonical,11
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,44
Transitive Transport Bridge,canonical,20
Transitive Transport Bridge,canonical,112
Transitive Transport Bridge,canonical,3
Transitive Transport Bridge,canonical,12
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,101
Transitive Transport Bridge,canonical,4
Transitive Transport Bridge,canonical,4
Transitive Transport Bridge,canonical,110
Transitive Transport Bridge,canonical,5
Transitive Transport Bridge,canonical,4
Transitive Transport Bridge,canonical,121
Transitive Transport Bridge,canonical,4
Transitive Transport Bridge,canonical,23
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,37
Transitive Transport Bridge,canonical,4
Transitive Transport Bridge,canonical,28
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,5
Transitive Transport Bridge,canonical,10
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,113
Transitive Transport Bridge,canonical,78
Transitive Transport Bridge,canonical,49
Transitive Transport Bridge,canonical,157
Transitive Transport Bridge,canonical,7
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,39
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,47
Transitive Transport Bridge,canonical,13
Transitive Transport Bridge,canonical,58
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,266
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,42
Transitive Transport Bridge,canonical,57
Transitive Transport Bridge,canonical,8
Transitive Transport Bridge,canonical,61
Transitive Transport Bridge,canonical,31
Transitive Transport Bridge,canonical,36
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,6
Transitive Transport Bridge,canonical,190
Transitive Transport Bridge,canonical,6
Transitive Transport Bridge,canonical,31
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,36
Transitive Transport Bridge,canonical,34
Transitive Transport Bridge,canonical,43
Transitive Transport Bridge,canonical,6
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,165
Transitive Transport Bridge,canonical,135
Transitive Transport Bridge,canonical,159
Transitive Transport Bridge,canonical,79
Transitive Transport Bridge,canonical,31
Transitive Transport Bridge,canonical,25
Transitive Transport Bridge,canonical,304
Transitive Transport Bridge,canonical,233
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,12
Transitive Transport Bridge,canonical,232
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,27
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,6
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,21
Transitive Transport Bridge,canonical,9
Transitive Transport Bridge,canonical,41
Transitive Transport Bridge,canonical,13
Transitive Transport Bridge,canonical,6
Transitive Transport Bridge,canonical,33
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,103
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,198
Transitive Transport Bridge,canonical,67
Transitive Transport Bridge,canonical,157
Transitive Transport Bridge,canonical,3
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,214
Transitive Transport Bridge,canonical,32
Transitive Transport Bridge,canonical,10
Transitive Transport Bridge,canonical,12
Transitive Transport Bridge,canonical,12
Transitive Transport Bridge,canonical,110
Transitive Transport Bridge,canonical,68
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,24
Transitive Transport Bridge,canonical,4
Transitive Transport Bridge,canonical,20
Transitive Transport Bridge,canonical,19
Transitive Transport Bridge,canonical,42
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,50
Transitive Transport Bridge,canonical,43
Transitive Transport Bridge,canonical,19
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,64
Transitive Transport Bridge,canonical,13
Transitive Transport Bridge,canonical,98
Transitive Transport Bridge,canonical,81
Transitive Transport Bridge,canonical,24
Transitive Transport Bridge,canonical,286
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,132
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,13
Transitive Transport Bridge,canonical,7
Transitive Transport Bridge,canonical,10
Transitive Transport Bridge,canonical,301
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,19
Transitive Transport Bridge,canonical,204
Transitive Transport Bridge,canonical,215
Transitive Transport Bridge,canonical,15
Transitive Transport Bridge,canonical,17
Transitive Transport Bridge,canonical,34
Transitive Transport Bridge,canonical,82
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,91
Transitive Transport Bridge,canonical,48
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,33
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,22
Transitive Transport Bridge,canonical,16
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,59
Transitive Transport Bridge,canonical,6
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,3
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,106
Transitive Transport Bridge,canonical,11
Transitive Transport Bridge,canonical,102
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,63
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,12
Transitive Transport Bridge,canonical,12
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,4
Transitive Transport Bridge,canonical,5
Transitive Transport Bridge,canonical,54
Transitive Transport Bridge,canonical,12
Transitive Transport Bridge,canonical,23
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,30
Transitive Transport Bridge,canonical,100
Transitive Transport Bridge,canonical,156
Transitive Transport Bridge,canonical,3
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,1
Transitive Transport Bridge,canonical,2
Transitive Transport Bridge,canonical,8
Transitive Transport Bridge,canonical,56
Transitive Transport Bridge,canonical,8
Transitive Transport Bridge,canonical,149
