experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift
a,clip-base,—,300,0.5,aggregate,0.74,0.905,0.94,0.9575,7,10,0.15200000000000002,0.6276618242263794,0.3539123790558441,0.31914009426233775,0.22043204523316925,0.3539123790558441,0.3539352624272532,0.35388949864325203,nan,nan,nan,nan,nan
a,clip-base,—,300,0.5,heldout,0.42,0.73,0.81,0.86,9,10,0.10600000000000001,0.6221083402633667,0.44220591813645255,0.3033883829336406,0.198480491609487,0.4422059181364525,0.43384311633050704,0.4508974611398547,nan,nan,nan,nan,nan
a,clip-large,—,300,0.5,aggregate,0.83,0.915,0.945,0.965,8,10,0.147,0.5870242714881897,0.30020292727894277,0.2624529780285595,0.15623445856524704,0.30020292727894277,0.30234926748638113,0.29808684548029357,nan,nan,nan,nan,nan
a,clip-large,—,300,0.5,heldout,0.5,0.69,0.78,0.86,7,10,0.086,0.6173869967460632,0.4064364369780622,0.2586921409939585,0.1581066519446925,0.4064364369780622,0.4072436298764365,0.4056324376052922,nan,nan,nan,nan,nan
a,dinov2-base,—,300,0.5,aggregate,0.795,0.8675,0.895,0.9325,9,10,0.15100000000000002,0.5690942406654358,0.3144336708822786,0.2773237265792817,0.13405748763897685,0.31443367088227864,0.31547813262242697,0.31339610217502,nan,nan,nan,nan,nan
a,dinov2-base,—,300,0.5,heldout,0.23,0.48,0.59,0.73,9,10,0.052000000000000005,0.423495352268219,0.32318840442424795,0.151099384726892,0.0912265507952159,0.323188404424248,0.32189887431374864,0.32448830783132115,nan,nan,nan,nan,nan
a,dinov2-large,—,300,0.5,aggregate,0.825,0.8825,0.915,0.945,10,10,0.17300000000000001,0.5616315603256226,0.3487279406054825,0.3141571709822499,0.1866540286217618,0.3487279406054825,0.3456558152186378,0.3518551646714098,nan,nan,nan,nan,nan
a,dinov2-large,—,300,0.5,heldout,0.34,0.54,0.66,0.78,4,10,0.06,0.5461316704750061,0.3496660724859978,0.17862175966771365,0.1947099303693276,0.3496660724859978,0.3467352725452163,0.3526468402950144,nan,nan,nan,nan,nan
a,dinov2-small,—,300,0.5,aggregate,0.7725,0.865,0.905,0.93,9,10,0.145,0.5817029476165771,0.34933486259211843,0.31469514156650485,0.1758155039390656,0.34933486259211843,0.34609071882255743,0.35264040098868393,nan,nan,nan,nan,nan
a,dinov2-small,—,300,0.5,heldout,0.24,0.46,0.62,0.72,7,10,0.07,0.5456169247627258,0.35003756840955663,0.1852571969124953,0.10335416265464277,0.35003756840955663,0.34567040369474394,0.3545164937258995,nan,nan,nan,nan,nan
a,vit-mae-base,—,300,0.5,aggregate,0.2525,0.4425,0.53,0.6225,8,10,0.0755,0.48149773478507996,0.18459116611717266,0.14177501780211338,0.07785704539875202,0.18459116611717263,0.18480974627365948,0.18437310239279897,nan,nan,nan,nan,nan
a,vit-mae-base,—,300,0.5,heldout,0.02,0.11,0.16,0.28,5,10,0.046,0.3752714991569519,0.3103238946776226,0.13469317253383223,0.05379816073732461,0.3103238946776226,0.30849582023634586,0.31217376375631184,nan,nan,nan,nan,nan
b,—,clap-fused,300,0.5,aggregate,0.295,0.51,0.6275,0.72,11,20,0.105,0.5744014382362366,0.41468865226122487,0.29475948075786623,0.13704581358609794,0.41468865226122487,0.41018120781009176,0.4192962612155382,nan,nan,nan,nan,nan
b,—,clap-fused,300,0.5,heldout,0.04,0.17,0.35,0.45,11,20,0.07,0.5256679058074951,0.5370244185448574,0.19727520162494927,0.11248772913632368,0.5370244185448574,0.5227046531724341,0.5521508785505874,nan,nan,nan,nan,nan
b,—,clap-larger,300,0.5,aggregate,0.4075,0.655,0.7475,0.8275,11,20,0.107,0.5350586175918579,0.3866836942238638,0.26293531139571724,0.11567604076674139,0.3866836942238639,0.3851318850419508,0.38824805938502926,nan,nan,nan,nan,nan
b,—,clap-larger,300,0.5,heldout,0.09,0.31,0.47,0.64,10,20,0.07,0.6042425036430359,0.5722055503771073,0.20895213236314736,0.14490853545410692,0.5722055503771072,0.5749434446731472,0.5694936083307615,nan,nan,nan,nan,nan
