experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness
a,clip-base,—,300,0.5,aggregate,0.74,0.905,0.94,0.9575,7,10,0.152,0.6276618242263794,0.3539123790558441,0.3191400942623377,0.2204320452331692,0.3539123790558441,0.3539352624272532,0.353889498643252
a,clip-base,—,300,0.5,heldout,0.42,0.73,0.81,0.86,9,10,0.106,0.6221083402633667,0.4422059181364525,0.3033883829336406,0.198480491609487,0.4422059181364525,0.433843116330507,0.4508974611398547
a,clip-large,—,300,0.5,aggregate,0.83,0.915,0.945,0.965,8,10,0.147,0.5870242714881897,0.3002029272789427,0.2624529780285595,0.156234458565247,0.3002029272789427,0.3023492674863811,0.2980868454802935
a,clip-large,—,300,0.5,heldout,0.5,0.69,0.78,0.86,7,10,0.086,0.6173869967460632,0.4064364369780622,0.2586921409939585,0.1581066519446925,0.4064364369780622,0.4072436298764365,0.4056324376052922
a,dinov2-base,—,300,0.5,aggregate,0.795,0.8675,0.895,0.9325,9,10,0.151,0.5690942406654358,0.3144336708822786,0.2773237265792817,0.1340574876389768,0.3144336708822786,0.3154781326224269,0.31339610217502
a,dinov2-base,—,300,0.5,heldout,0.23,0.48,0.59,0.73,9,10,0.052,0.423495352268219,0.3231884044242479,0.151099384726892,0.0912265507952159,0.323188404424248,0.3218988743137486,0.3244883078313211
a,dinov2-large,—,300,0.5,aggregate,0.825,0.8825,0.915,0.945,10,10,0.173,0.5616315603256226,0.3487279406054825,0.3141571709822499,0.1866540286217618,0.3487279406054825,0.3456558152186378,0.3518551646714098
a,dinov2-large,—,300,0.5,heldout,0.34,0.54,0.66,0.78,4,10,0.06,0.5461316704750061,0.3496660724859978,0.1786217596677136,0.1947099303693276,0.3496660724859978,0.3467352725452163,0.3526468402950144
a,dinov2-small,—,300,0.5,aggregate,0.7725,0.865,0.905,0.93,9,10,0.145,0.5817029476165771,0.3493348625921184,0.3146951415665048,0.1758155039390656,0.3493348625921184,0.3460907188225574,0.3526404009886839
a,dinov2-small,—,300,0.5,heldout,0.24,0.46,0.62,0.72,7,10,0.07,0.5456169247627258,0.3500375684095566,0.1852571969124953,0.1033541626546427,0.3500375684095566,0.3456704036947439,0.3545164937258995
a,vit-mae-base,—,300,0.5,aggregate,0.2525,0.4425,0.53,0.6225,8,10,0.0755,0.4814977347850799,0.1845911661171726,0.1417750178021133,0.077857045398752,0.1845911661171726,0.1848097462736594,0.1843731023927989
a,vit-mae-base,—,300,0.5,heldout,0.02,0.11,0.16,0.28,5,10,0.046,0.3752714991569519,0.3103238946776226,0.1346931725338322,0.0537981607373246,0.3103238946776226,0.3084958202363458,0.3121737637563118
b,—,clap-fused,300,0.5,aggregate,0.295,0.51,0.6275,0.72,11,20,0.105,0.5744014382362366,0.4146886522612248,0.2947594807578662,0.1370458135860979,0.4146886522612248,0.4101812078100917,0.4192962612155382
b,—,clap-fused,300,0.5,heldout,0.04,0.17,0.35,0.45,11,20,0.07,0.5256679058074951,0.5370244185448574,0.1972752016249492,0.1124877291363236,0.5370244185448574,0.5227046531724341,0.5521508785505874
b,—,clap-larger,300,0.5,aggregate,0.4075,0.655,0.7475,0.8275,11,20,0.107,0.5350586175918579,0.3866836942238638,0.2629353113957172,0.1156760407667413,0.3866836942238639,0.3851318850419508,0.3882480593850292
b,—,clap-larger,300,0.5,heldout,0.09,0.31,0.47,0.64,10,20,0.07,0.6042425036430359,0.5722055503771073,0.2089521323631473,0.1449085354541069,0.5722055503771072,0.5749434446731472,0.5694936083307615
